transaction_amount,merchant_category,time_since_last_transaction,distance_from_home,is_online,transaction_hour,day_of_week,card_age_days,avg_daily_transactions,amount_vs_avg_ratio,num_transactions_last_hour,is_international,merchant_risk_score,customer_age,account_balance,credit_limit_utilization,num_declined_last_month,velocity_score,target
6.38,6,3.04,21.2,0,9,6,1842,6.46,0.04,1,0,0.8998,20,5400.77,0.4702,0,1.5779,0
215.28,9,3.93,17.1,0,15,0,435,6.21,7.47,1,0,0.0092,28,4652.52,0.3765,0,2.1529,0
9.99,0,4.68,2.9,0,9,0,844,9.34,0.12,0,0,0.1584,73,2673.1,0.2497,0,0.7164,0
11.31,5,26.8,6.8,0,1,2,1961,5.99,0.13,1,0,0.1016,36,864.36,0.1939,0,0.4753,0
63.75,7,8.39,10.0,0,6,6,3164,2.59,0.66,3,0,0.9193,18,5224.48,0.3276,1,2.1933,0
5.93,3,0.61,65.9,0,13,1,735,7.5,0.07,0,0,0.0867,18,1084.9,0.2616,0,4.5079,0
69.89,0,24.06,2.2,0,22,0,2880,5.83,0.92,4,0,0.1989,41,2128.36,0.342,1,2.2633,0
37.25,9,10.96,2.2,0,18,1,2433,4.42,0.27,2,0,0.7984,62,1994.88,0.4151,0,1.4506,0
12.02,9,8.45,44.9,0,17,2,883,12.74,0.09,2,0,0.8848,51,233.74,0.0845,0,1.8586,0
3.16,0,10.99,8.2,0,4,0,2399,0.72,0.04,0,0,0.0859,44,1074.91,0.509,0,0.4524,0
5.01,1,2.69,25.9,1,20,5,496,11.53,0.03,3,0,0.1375,27,5881.87,0.5503,1,3.094,0
24.94,5,23.96,1.6,0,19,3,1165,12.57,0.4,0,0,0.8503,18,10262.63,0.0935,0,0.5702,0
3.63,3,0.43,8.4,1,23,4,3058,12.6,0.02,0,0,0.0159,50,4346.51,0.1209,0,5.4179,0
87.03,9,49.95,2.2,0,23,1,2502,10.43,0.45,3,0,0.2287,54,20089.46,0.4574,0,1.5131,0
7.95,4,6.17,1.9,1,5,1,1536,11.02,0.08,0,0,0.125,55,634.47,0.1728,0,0.2525,0
57.16,5,4.34,4.6,1,2,5,2702,1.83,0.36,3,0,0.3378,29,2991.87,0.0756,1,2.5436,0
31.91,2,13.96,1.0,0,18,3,436,13.46,0.16,3,0,0.2611,48,3835.49,0.2791,0,2.1326,0
1.29,6,5.57,71.9,1,16,5,3291,6.73,0.01,1,0,0.2819,34,2434.37,0.4203,0,0.7295,0
67.07,0,7.94,1.2,0,7,2,187,4.4,0.51,1,0,0.8049,37,545.45,0.5518,1,1.0064,0
13.46,1,4.94,10.6,1,16,1,2305,5.6,0.17,2,0,0.869,33,15526.37,0.1709,0,1.7486,0
35.29,8,1.36,0.2,0,9,4,1331,11.75,0.29,3,0,0.0945,62,7085.52,0.3184,0,4.0542,0
7.84,3,0.69,33.8,0,20,2,2031,1.09,0.27,3,0,0.4015,38,2183.16,0.448,0,5.9117,0
11.02,3,25.6,0.8,1,7,5,2384,5.61,0.1,1,0,0.5508,48,11239.9,0.0183,3,0.9971,0
31.14,7,5.07,17.5,0,3,5,545,5.62,0.34,0,0,0.1811,61,3298.75,0.1976,0,0.7804,0
90.69,6,20.55,23.0,0,22,1,2275,2.48,0.89,3,0,0.6014,34,11054.57,0.034,0,1.5529,0
27.77,1,2.32,5.3,0,15,1,1519,9.99,0.21,1,0,0.9192,53,8854.28,0.2533,0,1.3227,0
37.38,8,3.07,42.3,0,4,2,2339,9.43,0.38,3,0,0.0956,26,1039.89,0.3039,0,2.3723,0
35.2,5,0.16,0.2,0,22,6,2220,3.08,0.31,2,0,0.317,22,1676.17,0.3647,0,12.5506,0
12.04,6,4.77,12.7,0,22,6,3476,6.78,0.16,3,0,0.4032,29,474.5,0.2262,0,2.1331,0
64.13,6,6.36,4.2,0,10,6,1266,10.8,0.54,0,0,0.1381,55,2120.11,0.2691,0,0.4584,0
37.66,3,24.16,10.9,0,15,3,2844,2.17,0.45,0,0,0.9861,39,4265.89,0.5406,0,-0.0414,0
67.71,9,1.01,2.1,0,11,3,3123,9.69,0.38,0,0,0.3514,72,11112.78,0.1053,0,2.4322,0
84.51,3,18.08,7.8,0,22,0,2875,0.97,0.82,1,0,0.1825,23,4972.6,0.2661,0,0.9371,0
16.29,1,0.17,11.6,1,12,4,1478,4.75,0.09,1,0,0.6823,45,30171.53,0.1218,0,11.7042,0
