years_at_company,monthly_salary,overtime_hours_per_week,num_projects,last_promotion_months_ago,satisfaction_score,manager_rating,department,commute_distance_miles,stock_option_level,training_hours_last_year,work_life_balance,relationship_with_manager,age,education_level,num_companies_worked,years_since_role_change,performance_rating,target
0.4,6554.57,6.9,7,4,4.4,5,3,1.0,0,31.9,3,4,41,2,0,3.2,3,0
4.3,5145.87,0.5,2,8,6.1,4,3,6.0,2,22.0,2,3,37,4,7,1.7,5,0
1.9,4747.41,0.3,5,11,4.1,3,1,7.1,1,0.0,2,1,43,4,4,2.8,3,1
2.9,12840.25,2.7,4,1,5.6,1,4,3.6,3,3.9,3,3,31,3,4,0.9,4,0
0.3,5273.2,8.2,1,11,5.4,4,0,11.4,3,0.7,4,2,42,3,2,2.8,3,1
1.6,12230.1,11.8,5,15,5.0,3,2,60.5,3,15.6,3,3,37,5,1,2.0,3,0
4.5,5758.7,1.6,1,3,7.8,2,2,2.7,2,3.0,3,3,30,4,4,6.9,3,0
2.2,5068.85,5.9,4,9,6.9,4,4,2.1,0,29.9,3,2,24,2,5,1.4,2,0
2.9,8619.22,8.9,4,25,8.4,3,2,2.2,1,30.9,2,3,56,2,1,6.5,2,0
0.9,7201.79,0.8,5,14,5.5,3,2,7.7,1,5.1,4,3,25,4,4,6.4,4,0
1.9,10563.82,1.2,3,7,5.0,2,4,1.2,2,31.1,3,3,40,4,3,0.9,2,1
6.4,5005.17,1.3,6,25,7.6,4,6,16.7,0,3.9,2,4,52,2,3,0.1,4,0
3.3,18323.25,3.1,3,26,8.4,3,0,24.6,0,7.1,3,1,35,3,1,4.2,2,0
1.0,17711.84,3.2,2,4,7.6,3,6,4.3,0,23.7,5,4,53,5,0,2.2,4,0
1.9,6889.39,0.3,9,35,3.8,4,4,10.8,0,18.0,4,3,38,4,4,0.6,3,0
11.4,4498.59,1.7,2,30,6.8,3,3,5.9,1,4.6,1,4,29,2,1,0.5,3,0
1.2,5383.16,2.7,5,14,8.1,4,1,6.0,1,1.2,3,4,31,2,2,2.5,4,0
8.6,15517.62,0.2,3,7,7.0,1,4,1.0,2,13.2,5,1,57,1,3,0.1,2,0
15.2,6611.01,2.8,4,15,8.7,3,2,1.9,1,16.0,3,2,47,5,1,0.2,4,0
0.1,12708.27,0.1,1,12,5.7,3,3,5.4,0,29.1,5,3,48,3,5,1.9,4,0
2.4,16023.4,1.0,5,8,8.7,3,4,1.5,0,12.9,3,3,43,3,2,9.5,3,0
6.3,11395.42,1.4,4,9,6.2,1,1,6.3,2,0.0,3,4,30,2,8,9.9,3,0
11.8,5261.24,1.2,4,24,9.3,3,6,11.1,1,12.6,3,2,36,4,2,1.6,4,0
0.4,12080.08,4.9,4,11,7.8,3,1,8.5,0,20.8,5,1,45,1,2,5.2,3,0
7.7,17121.75,1.4,2,58,3.9,2,2,29.5,0,2.9,4,4,26,3,2,2.1,4,0
0.4,12192.51,2.4,4,0,4.1,4,1,17.5,0,33.4,4,5,34,2,3,2.2,3,1
1.7,9010.34,20.1,6,20,5.9,4,1,27.8,1,31.3,3,4,42,2,2,1.5,4,0
2.8,7666.89,0.2,1,9,3.8,3,4,5.4,1,14.0,3,4,29,1,4,4.0,3,0
0.2,6299.05,11.6,1,9,8.1,5,2,8.5,0,8.9,4,4,33,2,2,16.0,3,0
0.2,6211.46,4.5,4,1,7.6,3,4,9.6,0,24.2,3,1,54,5,2,4.1,4,0
2.7,19106.3,0.8,3,38,5.6,3,5,1.0,1,23.1,2,4,47,4,3,2.2,4,0
