loan_amount,annual_income,debt_to_income_ratio,credit_score,employment_length_years,home_ownership,loan_purpose,interest_rate,installment_amount,num_credit_lines,num_delinquencies,months_since_last_delinquency,total_credit_limit,revolving_utilization,public_records,inquiries_last_6months,age,years_at_current_address,target
26017.57,61806.34,0.0835,707,18.0,2,2,12.73,1838.05,15,0,0,19043.97,0.0729,0,2,45,0.5,0
6204.26,44038.19,0.2104,598,1.5,0,4,16.53,197.42,8,0,0,10776.2,0.1428,0,2,23,9.6,0
8410.21,22970.26,0.1654,702,6.3,2,2,10.81,168.55,8,0,0,43073.11,0.4943,0,2,26,4.7,0
7924.0,63004.76,0.1275,669,10.4,1,5,12.91,474.34,9,3,18,7800.09,0.5886,0,2,21,0.7,0
9623.48,15000.0,0.1536,773,4.0,2,0,13.93,222.37,6,0,0,60208.66,0.3738,0,2,27,2.7,0
9463.62,30303.23,0.1224,616,0.7,2,0,12.07,345.35,10,1,34,58420.01,0.5226,0,2,22,1.3,0
5345.95,61616.94,0.199,714,8.1,2,0,12.53,159.37,14,1,88,15479.47,0.9881,0,1,26,2.3,0
9961.77,21445.5,0.1228,693,2.9,2,3,17.48,257.57,4,0,0,23726.45,0.2686,0,1,28,5.8,0
8364.44,47676.11,0.2226,754,0.8,1,5,3.26,364.73,10,0,0,25364.47,0.5053,1,4,43,9.4,0
11369.78,47007.76,0.3309,683,2.1,2,1,11.9,259.38,7,1,9,15292.73,0.8583,0,1,50,3.5,0
21761.44,37304.87,0.0702,659,3.7,2,4,9.42,364.52,9,0,0,10905.26,0.7291,0,1,24,1.1,1
9416.49,61822.17,0.2472,652,1.1,1,1,3.34,240.04,9,0,0,15177.93,0.2554,0,2,41,3.3,0
11930.24,43155.27,0.205,665,4.8,2,3,13.46,541.3,10,0,0,5000.0,0.3911,1,0,57,7.0,0
17489.03,64360.12,0.2658,695,23.6,1,2,9.36,334.4,4,0,0,68631.12,0.3236,0,4,47,6.6,0
25017.94,124717.03,0.2154,653,2.5,2,1,12.88,946.37,16,1,34,5801.08,0.4665,0,0,57,0.3,0
87652.79,57748.04,0.0514,758,0.7,1,4,16.11,2099.89,6,0,0,5075.32,0.3648,0,0,36,7.6,0
9415.0,90594.37,0.2144,789,2.5,1,1,9.54,722.13,7,0,0,6919.06,0.4427,0,3,33,0.1,0
19147.92,68960.39,0.0841,627,7.3,2,0,14.51,402.31,7,0,0,10516.15,0.3057,0,1,31,3.5,0
27780.85,39180.6,0.1583,718,0.2,1,1,12.29,1147.38,6,2,115,21404.42,0.5128,0,0,21,7.8,0
10947.32,43271.17,0.1298,683,5.7,2,0,19.52,535.79,6,1,3,20700.46,0.5703,0,0,53,3.2,0
9777.77,128809.08,0.1413,675,0.9,2,0,5.64,305.65,7,1,14,25348.37,0.2746,0,0,41,2.4,0
