tenure_months,monthly_charges,total_charges,contract_type,num_support_calls_last_3months,avg_data_usage_gb,num_service_failures,has_internet_service,has_phone_service,has_streaming,payment_method,paperless_billing,num_plan_changes,overage_charges_last_3months,customer_age,household_size,is_senior,target
42,33.44,1511.32,1,3,5.77,1,1,0,1,3,1,2,24.2,30,4,0,0
38,54.55,2216.0,0,2,0.71,3,1,1,0,0,0,3,2.48,18,5,0,0
8,77.6,611.63,0,3,3.03,1,1,0,0,0,1,1,1.66,56,5,0,0
56,69.56,3917.07,0,1,1.81,1,1,0,0,0,1,0,0.62,18,3,0,0
14,94.21,1390.86,2,0,3.78,0,1,1,0,1,1,1,0.63,69,2,1,0
16,66.45,998.73,2,1,2.6,0,1,0,0,2,0,3,5.12,24,1,0,0
1,85.5,90.62,0,1,5.61,0,1,1,1,3,0,1,2.83,37,3,0,0
1,40.7,46.56,1,0,8.26,0,1,1,1,2,1,0,0.57,71,3,1,0
2,42.57,95.13,0,4,2.56,0,0,1,0,3,0,1,1.44,49,6,0,0
2,30.76,63.04,0,3,3.99,1,0,1,0,3,1,1,2.67,44,6,0,0
14,71.5,971.62,1,0,4.07,1,1,0,1,2,0,2,5.78,55,2,0,0
33,76.47,2297.98,0,3,35.63,0,1,1,1,1,1,2,6.47,30,1,0,1
25,63.01,1517.86,0,2,6.53,1,0,1,1,2,0,1,10.1,51,1,0,0
47,38.33,1962.19,0,2,11.96,3,1,1,0,2,1,0,3.11,44,4,0,0
8,80.33,732.81,1,1,2.55,3,1,1,0,1,1,2,2.54,34,4,0,0
7,52.09,353.46,0,2,23.34,0,1,1,1,0,0,1,1.29,33,3,0,1
45,69.9,3065.5,0,2,15.01,2,0,1,0,2,0,1,10.05,27,1,0,0
2,67.91,140.78,2,1,1.9,0,1,0,0,1,0,1,7.65,66,4,1,0
13,56.58,778.94,1,2,3.47,2,1,0,0,1,0,1,4.22,29,4,0,0
29,15.0,475.99,2,0,3.57,1,1,1,0,1,0,0,2.64,46,3,0,0
2,82.74,141.77,0,2,1.49,2,1,1,0,1,1,2,3.51,55,2,0,0
26,72.77,1844.06,0,2,5.15,2,1,1,0,3,1,1,8.47,26,2,0,0
34,114.96,3907.4,0,4,9.4,1,1,1,1,1,1,1,6.0,36,1,0,0
11,58.69,640.89,2,1,30.92,1,1,0,1,3,0,0,1.27,31,3,0,0
35,47.64,1599.08,0,4,3.01,1,1,0,0,2,1,2,0.54,55,2,0,1
3,102.47,266.72,1,1,4.56,0,1,1,0,3,1,2,0.46,34,2,0,1
14,73.26,921.04,0,1,3.54,0,1,0,0,0,1,0,1.43,27,4,0,0
55,103.14,5334.97,0,1,10.64,1,0,0,1,2,0,0,1.67,39,1,0,0
4,65.81,265.98,2,1,5.91,1,1,0,0,0,0,1,4.1,63,1,0,0
26,67.35,1523.09,0,2,2.47,1,1,1,0,2,1,5,4.25,31,1,0,0
12,19.9,211.44,1,4,11.66,0,1,0,1,2,0,1,0.14,51,2,0,1
5,18.48,86.4,2,1,20.13,1,1,1,0,3,1,1,10.87,45,1,0,0
21,15.0,354.36,2,1,4.8,1,0,1,1,2,1,1,1.18,18,4,0,0
17,65.53,1231.56,1,1,8.26,0,1,1,1,3,0,0,0.68,22,3,0,0
8,62.78,461.69,0,2,7.3,1,1,0,0,0,1,0,4.45,29,2,0,1
8,108.3,762.27,0,1,7.3,2,1,1,1,1,0,0,9.57,31,4,0,0
9,15.0,126.97,0,0,7.28,2,1,1,1,1,1,2,11.84,42,3,0,0
17,59.3,910.31,0,1,3.51,0,1,1,0,1,1,1,1.54,46,2,0,0
4,46.23,157.86,0,2,3.82,1,1,1,1,0,1,0,2.86,40,6,0,0
68,31.94,2237.39,2,0,4.01,0,1,1,0,3,1,0,5.88,35,2,0,0
3,49.2,165.19,1,5,5.6,0,0,0,0,1,0,3,0.84,63,1,0,0
19,23.47,443.76,2,1,8.9,3,1,0,0,2,1,0,9.0,33,5,0,0
13,58.74,701.03,1,1,1.25,1,0,1,1,1,0,1,3.28,27,3,0,1
50,86.06,4844.28,0,3,3.85,2,1,0,0,2,1,1,0.02,36,4,0,0
17,45.43,775.15,1,1,8.1,1,1,1,0,1,0,1,2.02,50,1,0,0
32,35.59,1063.52,2,0,1.5,0,1,1,0,2,1,1,0.33,40,2,0,0
44,37.47,1453.7,0,0,5.45,1,1,1,1,2,1,2,0.7,62,2,0,0
43,40.93,1949.47,0,4,4.77,1,1,0,1,3,0,3,10.41,53,5,0,0
8,91.21,767.7,0,2,5.6,1,0,0,0,2,0,2,4.04,39,4,0,0
16,105.63,1634.04,0,0,2.47,0,1,0,0,0,0,0,2.52,18,2,0,0
20,53.91,1220.3,0,0,2.72,1,1,0,0,3,1,0,1.65,20,5,0,0
57,50.34,2883.46,2,2,1.74,0,1,1,0,2,1,1,1.51,42,2,0,0
10,98.68,986.22,1,1,15.95,0,0,1,0,2,1,2,5.85,37,2,0,0
44,102.32,5092.09,0,2,8.0,2,0,1,0,1,0,0,11.13,28,1,0,0
4,62.92,219.57,0,3,16.33,0,0,0,0,1,1,0,6.31,31,3,0,0
23,75.99,1920.81,2,2,2.89,1,0,1,1,1,0,1,3.52,63,5,0,0
1,34.77,37.96,0,1,2.67,0,1,1,0,0,0,0,27.88,42,1,0,0
11,78.15,962.89,0,4,35.1,0,1,0,0,1,0,3,1.89,54,3,0,1
14,76.69,926.09,1,1,6.96,1,0,1,1,3,1,0,0.09,59,3,0,0
17,15.0,256.13,0,1,3.54,1,1,1,0,3,1,0,0.95,56,4,0,0
5,37.77,207.45,0,0,3.19,0,0,0,0,0,1,1,13.25,18,6,0,1
9,109.98,924.82,1,0,2.52,0,1,1,1,2,0,0,0.41,34,3,0,0
3,50.97,146.21,2,1,2.64,0,1,1,1,0,0,0,0.25,60,2,0,0
60,77.83,4242.76,0,2,3.53,0,0,1,1,3,0,0,15.94,58,6,0,0
32,52.63,1707.79,0,3,0.88,0,1,1,0,1,1,0,0.15,41,3,0,0
5,71.5,328.5,2,3,1.37,0,1,1,1,2,1,0,6.68,39,3,0,0
28,65.61,1592.93,0,3,1.98,2,0,0,0,1,0,0,0.64,77,2,1,0
30,52.88,1659.31,0,2,7.55,2,0,1,0,1,1,1,5.06,53,3,0,0
17,34.45,527.68,0,0,1.86,0,0,1,1,3,1,1,1.73,43,2,0,1
