claim_amount,policy_age_months,claimant_age,num_prior_claims,num_prior_fraud_flags,days_to_report,police_report_filed,num_witnesses,vehicle_age_years,claim_type,injury_severity,time_of_incident_hour,is_weekend,is_holiday_adjacent,deductible,coverage_level,claimant_employment_status,financial_stress_score,repair_shop_is_preferred,target
11040.91,29,42,1,0,0,0,1,0,1,1,19,0,0,2000.0,1,2,0.3186,1,0
1964.79,25,18,5,0,4,1,1,0,0,2,16,1,0,500.0,0,2,0.07,1,0
1850.76,16,25,2,0,2,1,0,0,0,2,13,0,0,250.0,2,2,0.125,1,0
15970.89,5,46,1,0,4,1,0,1,3,0,5,0,0,1000.0,1,0,0.3416,1,0
872.41,22,55,0,1,0,1,1,11,0,0,0,0,1,1000.0,0,3,0.2573,1,0
1396.54,34,41,3,0,5,1,3,1,0,3,2,0,0,1000.0,1,0,0.1134,0,0
2406.3,24,41,1,0,0,1,1,8,0,0,7,1,1,500.0,2,0,0.3845,0,0
8881.13,9,47,1,0,1,1,0,6,2,0,16,1,0,500.0,2,0,0.3637,1,0
2554.31,103,24,2,0,1,0,0,1,1,0,0,1,0,500.0,0,0,0.1089,1,0
3534.06,23,24,4,0,6,1,0,9,2,3,15,0,0,250.0,2,3,0.3696,1,0
1437.39,4,54,0,0,0,1,1,2,0,1,21,0,0,500.0,1,0,0.7738,1,0
8823.13,3,36,3,0,1,0,1,8,0,0,1,0,0,1000.0,1,0,0.2279,1,1
50188.03,25,48,2,0,2,0,0,4,0,0,14,1,0,500.0,2,0,0.0349,0,0
1105.8,50,54,3,1,0,1,0,1,1,1,7,0,0,2000.0,2,0,0.2595,1,0
8639.95,8,36,0,0,3,1,3,1,0,0,5,0,0,250.0,0,0,0.4718,1,0
8745.04,22,28,0,0,27,1,1,5,0,0,14,0,0,1000.0,2,0,0.0989,0,0
1127.48,31,37,2,1,0,0,0,3,1,0,10,0,0,500.0,0,3,0.4251,1,0
1827.99,46,43,1,0,0,0,1,2,2,1,20,0,0,2000.0,1,0,0.2847,1,0
3489.9,31,36,0,0,1,1,2,0,2,3,9,0,1,500.0,0,2,0.1275,1,0
4793.33,118,33,1,0,0,1,2,6,1,0,13,0,0,1000.0,1,0,0.2166,0,0
3317.03,30,58,0,0,0,0,0,7,0,2,3,0,0,2000.0,1,3,0.056,0,0
2849.73,30,50,3,0,1,0,1,4,2,0,4,0,0,2000.0,0,0,0.235,0,0
852.36,2,51,1,0,5,1,0,1,1,1,21,0,0,500.0,1,0,0.3693,1,0
5010.15,12,42,0,0,3,1,1,7,3,3,7,0,0,500.0,0,0,0.3489,0,0
14288.43,104,23,0,0,2,1,0,2,0,1,20,1,0,500.0,1,1,0.3305,0,1
2127.99,17,31,0,0,4,0,0,0,2,1,3,0,0,1000.0,2,0,0.223,0,0
4873.82,2,24,1,0,6,0,0,7,0,0,22,0,0,250.0,0,3,0.2398,0,0
3258.71,92,65,1,0,2,1,1,1,2,1,17,0,0,500.0,1,0,0.6569,1,0
11084.93,84,38,1,0,0,0,1,5,2,3,1,0,0,500.0,0,0,0.4444,1,0
1881.51,19,18,1,0,0,0,1,4,1,3,13,0,0,2000.0,1,0,0.3799,1,0
3621.95,118,30,1,0,0,0,1,5,0,0,1,0,0,1000.0,1,0,0.2731,1,0
4913.39,21,42,4,1,0,1,2,10,0,2,20,0,0,2000.0,1,0,0.3385,1,0
5227.64,70,33,0,0,1,0,2,2,0,1,0,0,0,2000.0,2,0,0.3898,0,0
1797.47,75,34,2,0,0,1,4,2,0,1,5,0,1,500.0,1,0,0.2252,0,0
2711.69,37,63,2,0,0,1,0,2,2,2,5,0,0,500.0,0,0,0.255,1,0
1876.98,67,47,0,0,6,1,0,2,0,0,15,1,0,500.0,1,2,0.1631,0,0
4513.65,19,58,2,0,0,1,2,13,1,0,1,0,0,500.0,1,0,0.4603,1,0
3834.02,15,51,1,0,1,0,3,2,1,0,8,0,0,1000.0,0,1,0.1165,1,0
588.24,9,22,1,0,0,1,1,10,0,0,1,0,0,250.0,0,2,0.2738,0,0
8306.16,87,54,3,0,0,0,2,5,0,3,20,0,0,500.0,1,0,0.1702,1,0
