num_links,num_images,has_attachment,subject_length,body_length,num_exclamation_marks,num_caps_words,sender_domain_age_days,sender_reputation_score,num_recipients,has_unsubscribe_link,is_html_email,num_spelling_errors,time_sent_hour,contains_urgency_words,contains_financial_words,sender_in_contacts,previous_emails_from_sender,header_authenticity_score,reply_to_mismatch,target
1,0,1,31,2522,1,1,483,0.5413,3,0,0,0,5,0,0,0,28,0.7477,0,0
1,0,0,53,462,1,0,343,0.7151,1,0,1,1,22,0,0,0,22,0.8899,0,0
1,1,0,33,189,0,1,392,0.8554,3,1,1,4,2,0,0,1,10,0.7589,0,0
0,1,0,42,1166,3,5,1986,0.9526,6,0,1,0,18,0,1,0,6,0.8486,0,0
4,3,1,25,275,1,6,896,0.5111,5,0,0,5,11,0,0,0,0,0.5265,0,1
2,2,0,9,591,2,3,1224,0.3876,3,1,0,0,18,0,0,0,0,0.839,0,1
1,1,0,82,1727,1,0,224,0.9799,9,0,0,4,18,0,1,0,6,0.7018,0,0
1,2,0,25,551,1,3,32,0.8122,1,0,0,1,7,0,0,1,10,0.7595,0,0
1,1,1,58,221,1,3,117,0.9631,1,0,1,2,15,1,0,0,4,0.7265,0,1
4,2,1,23,107,0,3,1403,0.5877,5,0,1,2,21,0,0,1,7,0.5913,0,0
1,1,0,21,379,0,2,875,0.8244,11,1,1,0,14,0,1,1,2,0.8445,0,0
1,2,0,42,527,1,1,1361,0.566,1,1,0,0,21,0,0,1,0,0.7697,0,0
3,1,0,18,279,0,1,1090,0.9277,1,0,1,1,7,0,0,0,6,0.9631,0,0
1,0,1,32,872,2,2,1232,0.7227,1,0,0,2,20,0,0,1,10,0.7581,0,0
2,6,0,18,405,0,3,631,0.8874,1,0,0,1,22,0,0,0,1,0.4947,0,1
3,1,0,10,93,0,3,422,0.3687,2,0,1,3,8,0,0,1,0,0.7556,0,0
3,1,0,26,103,1,2,322,0.5697,7,0,0,4,17,0,0,1,9,0.7689,0,1
0,1,0,22,939,3,3,208,0.7826,2,0,1,0,6,0,1,1,6,0.6549,0,0
2,2,0,25,1105,2,1,147,0.9482,3,0,1,2,20,1,0,1,7,0.6941,0,0
2,0,0,13,152,0,1,194,0.8792,3,0,1,2,2,0,0,1,31,0.6318,0,0
1,1,1,14,759,0,1,1996,0.8824,1,0,0,0,12,0,0,1,2,0.7367,0,0
1,0,0,20,32,2,4,1016,0.7341,1,0,1,1,19,0,0,0,4,0.5875,0,0
3,2,0,17,821,1,1,41,0.7712,3,0,1,4,9,0,0,0,22,0.7457,0,1
2,2,0,12,369,0,0,706,0.7112,2,0,1,1,6,1,0,1,38,0.7123,0,0
1,2,0,30,483,1,0,470,0.6867,3,0,1,1,4,0,0,0,9,0.5989,0,0
