gpa_first_semester,gpa_current,credit_hours_completed,credit_hours_attempted,course_withdrawal_count,financial_aid_amount,unmet_financial_need,is_first_generation,is_pell_eligible,campus_housing,extracurricular_count,advisor_meetings_per_semester,declared_major,distance_from_home_miles,age_at_enrollment,high_school_gpa,sat_score,num_absences_current_semester,part_time_work_hours,library_visits_per_month,target
1.93,2.39,44,48,1,4260.24,747.09,0,1,0,1,0,1,315.4,18,3.24,1071,2,5.7,3,0
2.87,3.26,49,53,0,4230.52,70.84,0,0,1,2,0,1,204.1,17,3.05,926,2,15.8,3,0
3.14,3.54,66,70,2,9597.9,1236.48,1,1,0,0,2,0,197.4,22,4.0,1291,6,5.4,4,0
2.7,2.54,48,49,0,4247.91,852.15,0,0,0,1,2,1,70.0,20,2.51,881,6,8.3,0,0
2.66,2.17,48,48,1,1331.87,1132.47,0,0,0,4,1,1,73.7,17,3.39,1002,3,3.9,3,1
3.71,3.31,45,49,1,8461.24,2268.67,0,0,0,1,1,1,340.8,22,3.56,1147,5,2.9,5,0
4.0,3.41,42,48,1,6284.81,9794.8,0,1,1,1,0,0,29.8,18,3.48,1333,5,13.6,3,0
2.9,2.8,46,46,3,37079.28,2682.09,0,1,1,1,0,1,5.2,22,2.4,1361,4,6.5,2,0
2.94,3.03,52,56,1,620.14,690.55,0,1,0,0,4,1,154.6,17,3.15,981,3,11.3,2,0
2.87,3.07,47,49,1,3035.85,859.43,0,0,1,2,1,1,25.1,21,3.14,930,2,0.2,5,0
2.22,2.91,44,47,2,7952.79,1697.86,0,0,0,0,1,1,34.9,22,2.66,960,1,1.1,3,0
2.81,3.25,42,46,1,20271.2,487.42,0,0,1,1,1,0,408.7,18,3.51,1170,5,0.5,3,1
2.41,2.34,41,44,2,3920.72,1104.46,1,0,0,2,0,1,53.0,20,4.0,961,2,19.6,8,0
2.23,2.15,50,53,1,8913.78,528.93,0,0,0,0,1,1,173.9,22,2.53,960,4,0.0,2,0
3.63,3.22,41,44,0,16184.94,4211.7,0,0,0,0,2,1,60.1,19,3.69,1217,1,0.5,3,0
3.02,2.96,45,47,0,13862.34,2453.33,0,0,0,0,1,1,5.0,20,2.41,1000,2,15.9,3,0
2.03,2.33,36,36,2,2674.57,2408.39,0,0,1,2,3,0,729.2,22,2.73,978,1,2.0,2,0
1.92,2.93,45,46,1,23777.35,87.28,0,0,0,2,0,1,44.8,17,3.25,1109,1,2.6,3,0
3.19,3.12,38,40,3,1073.65,3766.22,0,0,0,2,2,1,53.7,22,3.17,1043,2,16.2,0,1
1.82,2.67,41,43,1,8669.53,54.65,1,0,0,2,0,0,77.6,20,3.4,1290,2,5.7,7,1
2.65,3.34,44,46,1,6368.42,186.51,0,1,0,2,0,1,206.9,17,2.88,808,3,0.0,1,0
3.25,2.66,37,40,1,38018.31,405.44,0,0,1,3,2,1,39.0,17,3.34,1037,3,16.0,4,0
2.61,3.13,54,56,2,10782.98,1292.52,0,0,0,2,2,1,65.3,17,3.33,1209,4,19.3,5,0
2.78,2.54,43,46,1,6618.81,2361.51,0,0,1,0,3,0,100.8,18,3.83,842,2,0.5,2,1
1.94,2.42,48,54,1,1494.88,1595.44,0,0,0,1,1,0,276.6,21,2.75,1093,4,8.0,4,0
3.37,2.93,54,57,0,1335.92,4140.25,0,0,1,0,1,1,65.8,17,3.55,1036,2,22.0,3,0
3.16,3.67,44,46,0,1606.3,7519.64,0,0,0,2,5,1,38.4,19,3.03,1069,4,2.7,3,0
2.87,3.49,54,58,0,2891.69,1697.16,0,0,1,1,3,1,76.0,17,2.51,1053,1,5.4,4,0
3.36,3.02,43,44,2,3536.2,1175.36,0,0,0,1,0,0,5.0,20,3.32,1177,6,0.6,7,0
2.64,2.41,49,52,2,47725.3,141.01,1,1,0,0,1,1,145.8,17,3.02,1154,4,4.5,3,1
2.36,2.08,47,50,0,516.03,3519.41,0,1,1,0,2,1,48.5,17,3.21,1276,2,3.9,2,1
4.0,3.57,53,58,1,15041.56,155.87,0,0,0,4,0,1,19.7,17,3.49,1228,3,27.0,7,0
3.37,3.02,37,44,2,6650.79,3584.34,0,1,0,2,0,0,120.6,20,2.93,1166,1,5.6,4,0
2.16,2.39,45,49,3,1212.77,3421.31,0,0,1,2,2,0,108.8,19,2.77,1004,2,2.5,7,0
3.85,3.36,44,46,4,49837.36,3330.44,1,0,0,2,3,1,215.7,19,2.49,1103,4,7.1,2,0
2.41,2.56,51,54,2,5332.8,2044.63,0,1,1,0,1,0,51.7,18,4.0,1337,2,8.5,4,0
2.83,2.83,52,55,1,1073.03,1871.59,0,0,0,1,1,1,70.7,19,3.45,1082,4,1.9,0,0
2.37,2.43,46,51,3,3121.48,2120.14,0,0,0,2,0,0,14.3,21,2.54,947,3,10.0,4,1
3.59,2.83,42,42,0,992.59,4664.12,1,1,0,0,3,1,16.7,21,2.9,1321,4,2.7,5,0
3.83,3.35,39,49,0,21339.26,496.53,1,0,1,4,1,1,10.8,22,3.16,1116,4,2.6,2,0
2.05,2.15,54,59,2,6513.44,2555.96,0,0,1,4,1,1,51.3,19,2.93,950,2,20.4,7,0
1.32,2.07,44,49,1,21707.16,2123.75,1,1,1,1,1,1,54.1,23,2.76,1118,3,10.7,4,0
2.86,3.03,52,54,0,5592.18,3831.02,0,1,1,0,1,1,27.8,22,3.73,1229,4,3.6,3,1
1.92,2.23,35,38,0,10547.26,3098.64,1,0,0,1,0,1,47.0,18,2.77,1104,5,32.6,5,0
3.85,2.83,44,46,3,3550.66,886.94,1,1,1,4,0,1,23.2,23,3.23,979,4,0.7,2,0
3.08,3.0,37,40,0,12261.76,3618.22,1,0,1,1,4,1,51.1,17,2.67,764,1,3.4,0,0
3.27,3.57,33,35,0,4106.64,5469.6,0,1,0,0,2,1,43.7,20,2.67,965,2,0.5,2,0
3.08,3.79,57,59,0,3329.26,781.85,0,1,1,2,1,1,94.6,19,2.98,1074,1,14.3,1,0
3.07,3.2,48,50,0,6068.13,6116.24,1,0,1,3,0,1,144.9,18,3.26,1307,2,27.9,2,1
3.48,3.31,44,44,2,1675.1,333.01,0,1,0,2,1,0,302.4,18,4.0,1063,0,2.4,4,0
3.28,3.61,48,51,1,15436.3,1051.66,1,1,1,1,0,0,212.1,18,3.22,1301,3,2.0,1,0
2.4,2.54,37,39,1,3761.27,3527.86,0,0,1,2,2,1,59.9,22,3.21,840,9,14.2,0,0
2.06,2.6,50,52,2,12656.13,656.77,0,1,0,1,1,1,190.3,17,2.32,1253,4,0.3,8,0
4.0,2.92,36,36,1,2695.12,549.54,1,0,1,0,1,1,19.8,17,3.05,1064,5,1.4,2,1
3.11,3.03,31,33,0,2624.99,611.93,0,1,1,2,0,0,69.8,17,2.68,813,4,30.4,5,0
4.0,3.54,48,55,3,4638.75,432.05,0,0,1,1,2,1,37.7,17,3.54,996,3,19.9,0,0
2.5,2.4,53,57,0,3803.12,6777.11,0,0,1,3,3,0,184.9,19,3.48,1333,0,28.2,5,0
2.84,2.43,45,47,0,3567.47,13419.86,1,1,0,2,0,1,19.9,20,3.27,1080,2,3.1,2,0
3.47,3.32,46,50,0,2907.9,987.93,0,0,0,1,1,1,131.2,17,4.0,1004,8,8.5,4,0
2.14,2.53,38,41,1,1392.0,236.0,1,0,0,1,0,1,58.4,19,3.24,895,7,3.1,2,0
2.75,2.87,47,48,1,6138.21,401.36,0,0,0,1,0,0,128.2,17,2.98,1070,4,3.1,7,0
3.0,2.83,36,43,1,6568.0,4245.63,0,1,1,1,1,1,103.0,21,3.19,1091,2,5.2,3,1
2.84,2.94,41,46,0,9350.97,4112.68,0,1,1,6,1,1,15.6,17,3.47,1261,3,4.4,3,0
1.88,2.46,46,47,1,5093.88,151.38,0,0,0,2,1,1,157.3,17,3.74,909,4,7.3,2,0
1.07,2.24,38,42,3,3601.56,5051.87,0,1,0,0,0,1,138.3,19,3.56,1468,2,4.6,1,0
2.39,2.57,39,42,3,6428.89,4137.72,0,1,0,3,1,1,5.0,18,3.88,1259,3,11.4,3,0
1.69,2.44,55,58,0,5701.22,5412.88,0,1,0,1,2,0,307.6,17,4.0,1247,3,1.6,3,0
