packet_size_bytes,connection_duration_sec,num_packets,bytes_sent,bytes_received,protocol_type,service_type,flag_type,src_port_ephemeral,dst_port_wellknown,num_failed_logins,is_guest_login,num_access_files,num_outbound_commands,count_connections_same_host,serror_rate,rerror_rate,same_service_rate,diff_host_rate,dst_host_count,target
375,18.17,49,23095,14639,0,6,1,1,0,0,0,3,0,7,0.0959,0.0077,0.7669,0.1256,29,0
857,7.59,56,4352,519,2,7,3,1,1,0,0,2,0,18,0.2042,0.0658,0.592,0.2968,31,0
475,29.19,50,1657,7976,1,2,2,1,1,1,0,4,0,3,0.0114,0.0053,0.608,0.0376,42,0
1833,18.84,54,2152,365,3,1,5,0,0,0,0,1,0,9,0.0596,0.1309,0.6693,0.0372,27,0
1253,40.15,52,113,14544,3,6,1,1,1,0,0,2,1,14,0.1916,0.0947,0.6422,0.4217,22,0
100,25.04,54,968,3072,3,9,2,0,1,0,0,3,0,7,0.0235,0.0147,0.6994,0.2053,38,0
2867,72.91,45,13454,5906,2,6,5,1,0,0,0,2,3,13,0.0323,0.2316,0.5307,0.0787,35,0
4407,60.64,54,1643,7766,3,11,3,1,1,0,0,0,0,8,0.0552,0.1316,0.6862,0.2936,38,0
123,10.16,65,1283,4040,1,11,0,1,0,0,0,2,0,12,0.256,0.0301,0.9079,0.0708,41,1
345,10.45,56,402,644,2,5,2,1,0,1,0,0,1,13,0.0004,0.0594,0.7662,0.2099,30,0
100,35.48,43,29226,12218,2,9,5,0,1,0,1,1,0,10,0.0836,0.0506,0.8508,0.0957,22,1
314,0.56,55,9577,7920,1,7,2,0,1,0,0,2,0,7,0.0669,0.0155,0.8061,0.1703,28,0
1466,89.48,56,492,5258,2,6,1,1,0,0,0,1,0,9,0.0356,0.0592,0.9252,0.051,25,0
743,63.1,60,15132,22651,1,2,0,1,1,1,0,2,0,6,0.0333,0.0215,0.4411,0.1802,41,0
324,19.49,55,1339,7139,3,7,0,1,1,0,0,0,0,11,0.1111,0.0729,0.7961,0.3862,30,0
100,56.67,48,2704,14567,1,4,5,1,1,0,0,2,2,10,0.0501,0.0997,0.951,0.131,21,0
204,38.65,53,550,7806,2,7,4,1,0,0,0,3,1,7,0.0302,0.0836,0.7485,0.053,29,0
1021,0.45,52,1552,34514,2,0,4,1,0,0,0,3,0,7,0.0357,0.037,0.3356,0.0345,22,0
100,19.97,49,1483,806,0,8,1,1,0,1,0,1,0,10,0.2942,0.0358,0.7518,0.0108,26,1
2687,4.4,43,5289,3453,2,9,1,1,1,1,0,1,1,11,0.0671,0.0919,0.8926,0.0549,30,0
162,21.29,45,705,9382,1,2,3,1,0,0,0,2,0,14,0.1516,0.0239,0.5631,0.112,38,0
138,65.57,53,745,22969,1,11,2,1,0,0,0,2,0,11,0.2534,0.0339,0.7497,0.2281,42,0
285,44.37,53,70392,160,2,3,3,1,1,0,0,2,0,9,0.1428,0.0311,0.517,0.0777,31,0
777,19.27,58,140,11207,1,2,0,1,0,0,0,2,1,6,0.0624,0.0053,0.7345,0.2799,28,0
13124,10.97,53,35753,5812,0,3,3,0,0,0,0,3,2,13,0.0753,0.0767,0.649,0.0576,30,0
591,44.39,56,39918,5068,3,5,5,0,1,0,0,2,1,9,0.0972,0.0583,0.6828,0.2698,32,0
1036,6.64,57,1874,663,3,3,1,1,0,0,0,1,0,6,0.0178,0.0306,0.8839,0.1439,22,0
2419,18.46,47,387,12690,0,3,5,1,0,0,0,5,1,9,0.0471,0.138,0.8272,0.0446,42,0
351,56.68,53,579,2311,2,6,4,0,1,0,0,2,1,20,0.1253,0.0271,0.9083,0.1168,31,0
234,35.91,51,3677,3275,1,2,1,0,0,0,0,3,0,8,0.0796,0.0169,0.8969,0.1445,29,0
429,6.86,56,4679,840,2,3,1,0,0,0,0,2,1,11,0.0588,0.0447,0.6004,0.3959,26,1
6687,42.44,49,1812,6767,3,9,5,0,1,0,0,3,2,13,0.0085,0.1516,0.925,0.1586,24,0
118,40.67,53,6597,2755,0,10,0,1,1,0,0,5,2,12,0.1301,0.0835,0.831,0.1702,22,0
409,1.43,63,402,2284,2,5,3,1,1,0,0,3,0,12,0.2168,0.0762,0.7341,0.4059,39,0
918,2.91,58,49799,2122,2,1,3,1,0,0,0,3,0,15,0.0447,0.0277,0.7767,0.3405,29,0
143,83.33,54,1420,1886,0,4,3,1,1,0,0,2,0,6,0.0569,0.0034,0.4719,0.2882,25,0
127,30.79,40,1950,359,2,1,3,1,1,0,0,3,1,17,0.3762,0.0882,0.6752,0.4329,35,1
