recency_days_since_last_purchase,frequency_purchases_last_year,monetary_total_spend,avg_order_value,num_catalog_requests,email_open_rate,website_visits_last_month,loyalty_program_member,years_as_customer,age,household_income_bracket,home_ownership,num_children,distance_to_store_miles,previous_campaign_responses,category_preference,seasonality_score,credit_card_on_file,returned_items_last_year,target
87.6,1.0,98.81,98.81,0.0,0.2076,5.0,0.0,4.7,47.0,4.0,1.0,0.0,6.8,3.0,5.0,0.3551,1.0,1.0,0
147.7,5.0,709.8,141.96,3.0,0.4223,10.0,0.0,1.3,60.0,0.0,1.0,2.0,1.9,1.0,0.0,0.7564,0.0,1.0,0
15.9,4.0,20.92,5.23,1.0,0.387,7.0,1.0,3.2,27.0,3.0,1.0,1.0,5.9,0.0,3.0,0.0173,1.0,0.0,0
122.8,6.0,44.67,7.44,2.0,0.3557,5.0,0.0,7.2,50.0,1.0,1.0,1.0,35.6,2.0,4.0,0.4694,1.0,1.0,0
128.1,2.0,191.49,95.74,3.0,0.2053,7.0,0.0,0.6,49.0,2.0,0.0,1.0,50.0,0.0,1.0,0.1042,1.0,1.0,0
54.0,4.0,341.48,85.37,2.0,0.3642,7.0,0.0,0.2,30.0,2.0,1.0,1.0,24.3,0.0,4.0,0.9281,1.0,0.0,0
162.3,2.0,311.27,155.63,1.0,0.2112,6.0,0.0,1.1,41.0,2.0,1.0,0.0,1.0,1.0,5.0,0.6594,1.0,0.0,0
97.6,5.0,278.52,55.7,6.0,0.5325,3.0,0.0,0.7,44.0,1.0,2.0,0.0,15.7,4.0,5.0,0.0762,1.0,1.0,0
51.6,1.0,65.35,65.35,3.0,0.2132,3.0,1.0,3.3,31.0,2.0,1.0,3.0,15.3,2.0,5.0,0.8239,0.0,0.0,0
86.1,3.0,917.11,305.7,1.0,0.1643,4.0,0.0,5.3,79.0,2.0,2.0,0.0,3.4,0.0,2.0,0.4882,1.0,0.0,0
81.1,2.0,392.0,196.0,2.0,0.5041,4.0,0.0,2.0,44.0,2.0,0.0,2.0,1.8,2.0,4.0,0.2438,1.0,2.0,0
60.1,3.0,466.83,155.61,3.0,0.3477,4.0,0.0,2.9,41.0,4.0,1.0,0.0,2.2,1.0,5.0,0.953,0.0,0.0,0
87.6,3.0,494.29,164.76,2.0,0.2417,6.0,1.0,4.5,42.0,0.0,0.0,1.0,17.2,2.0,3.0,0.568,1.0,0.0,0
41.3,4.0,72.38,18.1,3.0,0.4814,11.0,1.0,2.2,54.0,2.0,1.0,1.0,21.5,2.0,2.0,0.4621,1.0,0.0,0
274.1,1.0,113.83,113.83,2.0,0.0686,2.0,1.0,0.4,77.0,2.0,1.0,0.0,9.8,0.0,3.0,0.2719,1.0,0.0,0
6.1,4.0,279.1,69.78,1.0,0.3834,4.0,0.0,11.3,79.0,2.0,1.0,1.0,2.6,1.0,5.0,0.3696,0.0,1.0,0
53.0,4.0,42.71,10.68,3.0,0.1088,6.0,1.0,4.2,46.0,2.0,1.0,0.0,25.5,1.0,0.0,0.0194,1.0,0.0,0
50.1,4.0,498.35,124.59,2.0,0.302,3.0,0.0,1.8,76.0,3.0,1.0,1.0,8.3,0.0,2.0,0.4217,1.0,0.0,0
29.8,1.0,257.52,257.52,0.0,0.2297,2.0,0.0,1.9,66.0,3.0,2.0,3.0,16.5,1.0,5.0,0.5682,0.0,0.0,0
