equipment_age_years,operating_hours_total,hours_since_last_maintenance,vibration_level_mm_s,temperature_bearing_celsius,oil_pressure_psi,coolant_flow_rate,power_output_mw,load_factor_pct,ambient_temperature,num_previous_failures,manufacturer,equipment_type,last_maintenance_type,humidity_pct,startup_count_last_month,operating_mode,alarm_count_last_week,efficiency_rating,thermal_image_anomaly_score,target
3.2,24837.0,591.0,1.85,59.2,37.6,132.7,268.9,77.9,27.4,0.0,1.0,3.0,0.0,23.0,4.0,1.0,4.0,75.6,0.107,0
2.8,19373.0,40.0,2.53,72.5,46.8,112.7,301.4,91.3,14.2,1.0,4.0,3.0,2.0,52.4,4.0,1.0,0.0,84.3,0.285,0
30.2,203409.0,277.0,4.22,77.7,51.7,133.2,310.3,87.9,28.5,1.0,1.0,3.0,2.0,43.3,4.0,2.0,1.0,86.7,0.051,0
12.1,100038.0,1161.0,6.51,81.5,41.7,128.0,370.2,91.8,37.5,0.0,1.0,0.0,0.0,23.3,1.0,2.0,0.0,81.7,0.106,0
6.4,43303.0,258.0,1.64,78.3,43.6,122.4,504.2,54.1,20.4,2.0,3.0,2.0,1.0,55.5,5.0,0.0,0.0,91.9,0.201,0
11.4,95311.0,128.0,1.02,57.0,33.8,83.3,387.6,69.7,28.4,2.0,1.0,0.0,1.0,33.1,3.0,1.0,3.0,81.6,0.568,0
0.5,3002.0,356.0,3.14,68.1,33.5,174.4,190.9,94.2,7.7,1.0,2.0,2.0,1.0,94.6,1.0,0.0,1.0,86.6,0.11,0
6.2,47346.0,115.0,1.47,63.7,52.3,117.4,363.0,96.5,28.7,0.0,0.0,3.0,0.0,59.1,1.0,1.0,1.0,83.3,0.134,0
5.1,34350.0,72.0,3.0,64.7,44.0,130.3,443.4,45.4,29.6,3.0,4.0,1.0,1.0,81.3,1.0,1.0,4.0,89.2,0.023,0
3.3,20052.0,1556.0,5.4,50.9,37.5,124.3,403.1,48.6,23.7,1.0,3.0,1.0,0.0,54.3,5.0,1.0,0.0,75.6,0.309,0
0.6,3212.0,1968.0,2.83,58.8,62.9,81.8,434.2,74.8,19.1,1.0,2.0,0.0,1.0,71.5,3.0,1.0,1.0,76.5,0.23,0
1.5,10509.0,576.0,2.85,84.9,37.9,96.4,113.3,72.6,8.4,0.0,3.0,2.0,0.0,87.2,2.0,0.0,0.0,83.6,0.514,0
1.7,13800.0,1319.0,1.97,87.4,45.7,105.8,221.4,79.8,34.3,1.0,4.0,2.0,2.0,87.4,3.0,0.0,4.0,86.2,0.023,0
4.4,36256.0,2907.0,4.59,76.1,36.2,131.9,228.3,64.4,29.1,2.0,2.0,0.0,2.0,44.2,4.0,1.0,1.0,84.5,0.145,0
16.5,114155.0,80.0,2.66,95.8,59.4,91.7,551.6,97.8,31.2,1.0,4.0,3.0,2.0,28.9,2.0,2.0,2.0,93.7,0.14,0
0.7,5946.0,952.0,2.88,71.5,47.1,114.0,328.7,76.5,27.1,1.0,2.0,0.0,1.0,94.0,4.0,0.0,2.0,98.4,0.284,0
6.6,45763.0,461.0,2.43,85.3,44.4,138.3,338.5,58.4,33.5,1.0,1.0,0.0,1.0,86.6,4.0,0.0,1.0,93.1,0.204,0
