requested_loan_amount,annual_income,employment_length_months,credit_score,num_open_accounts,total_debt,debt_to_income,num_derogatory_marks,months_since_last_derogatory,home_ownership,purpose,application_hour,time_on_page_seconds,num_page_revisits,device_type,previous_applications,referral_source,verification_status,zip_risk_score,target
16710.61,57043.36,83.0,656.0,7.0,48708.49,0.8539,0.0,0.0,0.0,4.0,0.0,299.5,1.0,1.0,1.0,4.0,1.0,1.83,0
22954.76,26835.24,96.0,668.0,9.0,19877.08,0.7407,0.0,0.0,1.0,4.0,22.0,163.1,2.0,0.0,1.0,3.0,0.0,5.02,1
3559.91,35574.73,28.0,684.0,9.0,33594.2,0.9443,0.0,0.0,0.0,1.0,7.0,197.6,0.0,2.0,3.0,2.0,2.0,6.55,0
3774.97,37927.76,29.0,636.0,5.0,11424.28,0.3012,0.0,0.0,2.0,5.0,21.0,165.9,5.0,0.0,0.0,4.0,2.0,3.88,0
2023.37,34171.58,3.0,656.0,3.0,26549.27,0.7769,0.0,0.0,1.0,3.0,6.0,443.0,1.0,1.0,0.0,4.0,2.0,3.43,0
12907.89,78319.13,121.0,714.0,7.0,8905.39,0.1137,0.0,0.0,0.0,5.0,4.0,273.1,0.0,0.0,0.0,3.0,2.0,1.98,0
3026.9,24313.77,39.0,731.0,6.0,16858.32,0.6934,0.0,0.0,1.0,0.0,9.0,520.5,1.0,2.0,0.0,2.0,0.0,1.3,0
3416.65,31094.89,33.0,673.0,8.0,2861.88,0.092,0.0,0.0,1.0,5.0,15.0,179.5,0.0,0.0,1.0,4.0,1.0,4.03,0
11841.14,29823.96,31.0,725.0,4.0,6360.32,0.2133,1.0,15.0,0.0,1.0,0.0,214.4,1.0,0.0,0.0,3.0,2.0,1.5,0
7348.62,154513.45,51.0,712.0,7.0,88355.37,0.5718,0.0,0.0,0.0,5.0,17.0,136.9,0.0,0.0,0.0,1.0,2.0,2.28,0
11131.59,89174.08,32.0,645.0,2.0,50839.94,0.5701,0.0,0.0,0.0,4.0,0.0,84.2,1.0,0.0,1.0,1.0,0.0,3.1,0
17834.67,51746.37,25.0,667.0,6.0,25740.55,0.4974,0.0,0.0,2.0,5.0,16.0,354.5,1.0,0.0,0.0,3.0,0.0,1.27,0
1634.6,39888.27,143.0,752.0,9.0,10899.46,0.2732,1.0,8.0,1.0,1.0,9.0,1042.6,2.0,1.0,1.0,0.0,1.0,2.52,0
14386.39,41107.44,6.0,600.0,6.0,28466.54,0.6925,0.0,0.0,1.0,2.0,5.0,163.6,2.0,1.0,0.0,1.0,0.0,0.31,0
3433.03,32727.04,13.0,676.0,3.0,43160.23,1.3188,0.0,0.0,0.0,3.0,2.0,53.0,1.0,0.0,1.0,1.0,1.0,1.62,1
5590.94,20591.14,143.0,738.0,5.0,13126.6,0.6375,1.0,10.0,1.0,4.0,21.0,55.0,1.0,1.0,2.0,0.0,0.0,3.15,0
4541.85,65438.55,21.0,756.0,6.0,52234.41,0.7982,3.0,10.0,1.0,4.0,18.0,628.0,2.0,1.0,0.0,2.0,2.0,3.24,0
42026.58,35705.38,49.0,657.0,5.0,49448.05,1.3849,0.0,0.0,1.0,0.0,17.0,316.7,1.0,0.0,1.0,1.0,0.0,0.77,1
11441.15,219240.77,16.0,685.0,4.0,152996.23,0.6978,1.0,58.0,2.0,3.0,19.0,70.9,1.0,0.0,1.0,0.0,1.0,1.3,0
5898.74,45737.4,9.0,619.0,3.0,40470.35,0.8848,0.0,0.0,1.0,1.0,6.0,350.4,0.0,1.0,2.0,3.0,0.0,4.62,0
13304.85,84142.05,6.0,640.0,3.0,72178.18,0.8578,0.0,0.0,2.0,0.0,18.0,116.4,3.0,0.0,0.0,2.0,2.0,1.04,0
13400.07,32595.92,43.0,689.0,5.0,26606.11,0.8162,0.0,0.0,2.0,3.0,2.0,215.9,0.0,0.0,0.0,0.0,2.0,0.75,0
22514.48,34364.49,31.0,645.0,7.0,6700.11,0.195,0.0,0.0,2.0,1.0,16.0,219.3,2.0,0.0,0.0,1.0,0.0,3.13,0
17619.9,16996.12,42.0,727.0,9.0,8871.25,0.522,0.0,0.0,1.0,0.0,0.0,346.0,0.0,0.0,0.0,3.0,1.0,6.46,1
9042.31,46029.37,3.0,686.0,3.0,4885.54,0.1061,0.0,0.0,1.0,3.0,10.0,142.7,2.0,0.0,3.0,2.0,2.0,3.98,0
4622.91,80005.0,44.0,627.0,4.0,127219.09,1.5901,0.0,0.0,1.0,2.0,0.0,117.9,0.0,0.0,0.0,0.0,1.0,2.5,0
9274.24,32020.56,107.0,725.0,4.0,14000.3,0.4372,0.0,0.0,0.0,0.0,2.0,281.6,1.0,1.0,1.0,4.0,0.0,2.23,0
9321.88,97972.81,16.0,705.0,4.0,61642.56,0.6292,0.0,0.0,1.0,3.0,5.0,185.0,3.0,0.0,0.0,0.0,1.0,1.34,0
8188.18,63418.72,6.0,705.0,5.0,14959.14,0.2359,0.0,0.0,1.0,2.0,12.0,565.4,0.0,0.0,2.0,2.0,1.0,3.15,0
16649.72,31087.87,8.0,671.0,4.0,5837.59,0.1878,0.0,0.0,1.0,5.0,20.0,369.5,0.0,0.0,0.0,4.0,0.0,4.63,0
22662.36,109012.84,42.0,692.0,5.0,35306.83,0.3239,0.0,0.0,2.0,4.0,4.0,247.0,2.0,0.0,1.0,0.0,1.0,1.35,0
6162.05,79798.61,46.0,707.0,2.0,116011.6,1.4538,2.0,44.0,0.0,2.0,1.0,115.6,3.0,2.0,1.0,1.0,1.0,3.24,0
14511.88,93359.01,56.0,625.0,6.0,55528.66,0.5948,0.0,0.0,1.0,0.0,23.0,311.6,1.0,0.0,1.0,2.0,0.0,4.87,1
7269.75,36270.28,25.0,628.0,5.0,25803.84,0.7114,0.0,0.0,2.0,4.0,7.0,39.5,1.0,0.0,0.0,0.0,0.0,1.43,1
8277.14,99957.12,62.0,655.0,3.0,29279.11,0.2929,0.0,0.0,1.0,5.0,8.0,270.7,2.0,0.0,0.0,2.0,2.0,4.25,0
5995.92,51749.37,94.0,736.0,4.0,25409.18,0.491,0.0,0.0,0.0,2.0,10.0,365.7,1.0,0.0,0.0,3.0,2.0,2.62,0
3984.47,72175.88,16.0,807.0,3.0,31528.63,0.4368,0.0,0.0,0.0,3.0,15.0,374.7,1.0,2.0,0.0,0.0,0.0,0.59,0
6140.74,20441.96,49.0,739.0,6.0,5059.9,0.2475,0.0,0.0,1.0,4.0,19.0,424.4,4.0,0.0,0.0,2.0,2.0,3.03,0
29148.15,50094.63,0.0,675.0,1.0,5892.02,0.1176,0.0,0.0,1.0,2.0,2.0,183.4,2.0,1.0,1.0,4.0,0.0,2.63,0
11853.63,82340.07,85.0,613.0,5.0,42811.55,0.5199,1.0,11.0,1.0,1.0,0.0,41.2,3.0,0.0,0.0,1.0,2.0,0.82,0
10680.77,66467.85,26.0,645.0,3.0,39348.68,0.592,1.0,27.0,1.0,5.0,12.0,171.0,1.0,1.0,1.0,3.0,2.0,0.85,1
10456.34,24413.33,40.0,709.0,7.0,12273.0,0.5027,0.0,0.0,1.0,2.0,20.0,429.7,1.0,1.0,0.0,1.0,2.0,0.64,0
4930.86,69012.16,21.0,698.0,5.0,29419.79,0.4263,1.0,50.0,0.0,2.0,2.0,1107.8,0.0,1.0,0.0,3.0,0.0,1.37,0
26820.52,74570.81,23.0,675.0,8.0,91480.94,1.2268,0.0,0.0,1.0,4.0,8.0,240.3,1.0,1.0,1.0,0.0,1.0,3.82,0
3520.1,113421.66,2.0,578.0,5.0,57137.59,0.5038,1.0,74.0,2.0,2.0,19.0,221.4,2.0,0.0,0.0,3.0,2.0,3.66,1
9651.07,116028.0,33.0,712.0,4.0,23709.68,0.2043,1.0,1.0,2.0,4.0,21.0,213.4,2.0,2.0,0.0,1.0,1.0,2.29,0
8962.2,43500.09,29.0,802.0,6.0,39398.12,0.9057,1.0,67.0,2.0,0.0,21.0,636.5,0.0,1.0,1.0,0.0,0.0,2.71,0
2463.97,25224.92,12.0,765.0,6.0,4027.88,0.1597,1.0,100.0,0.0,2.0,13.0,320.7,1.0,0.0,2.0,3.0,0.0,2.24,0
15381.89,15000.0,63.0,700.0,4.0,2161.72,0.1441,0.0,0.0,1.0,1.0,6.0,304.9,3.0,1.0,1.0,4.0,2.0,0.93,0
7037.45,34560.5,9.0,648.0,3.0,7378.45,0.2135,0.0,0.0,2.0,0.0,19.0,458.9,1.0,0.0,0.0,2.0,2.0,6.04,0
3236.02,41410.96,16.0,631.0,5.0,23148.63,0.559,0.0,0.0,2.0,5.0,14.0,119.3,1.0,0.0,1.0,0.0,2.0,3.23,0
2204.68,47401.92,26.0,676.0,6.0,32391.65,0.6833,0.0,0.0,1.0,2.0,8.0,1923.8,2.0,0.0,0.0,0.0,2.0,0.21,0
7383.45,63094.32,5.0,704.0,6.0,81404.49,1.2902,2.0,27.0,1.0,0.0,1.0,506.9,1.0,0.0,0.0,2.0,1.0,2.96,0
3560.29,28059.16,58.0,627.0,4.0,24924.78,0.8883,0.0,0.0,1.0,4.0,14.0,25.0,1.0,2.0,0.0,1.0,2.0,1.37,1
8826.02,55304.74,139.0,750.0,6.0,18885.87,0.3415,1.0,16.0,0.0,4.0,1.0,162.0,0.0,1.0,1.0,4.0,1.0,1.47,0
13179.69,20658.39,31.0,616.0,9.0,10367.89,0.5019,0.0,0.0,2.0,4.0,3.0,869.0,4.0,0.0,0.0,0.0,1.0,0.32,0
5872.47,82930.9,135.0,692.0,3.0,35159.09,0.424,0.0,0.0,2.0,2.0,13.0,947.8,2.0,1.0,0.0,1.0,2.0,5.19,0
8684.65,45113.78,41.0,664.0,7.0,45450.04,1.0075,0.0,0.0,0.0,3.0,13.0,77.0,4.0,0.0,1.0,1.0,2.0,1.08,1
18562.58,53712.43,55.0,652.0,7.0,8550.33,0.1592,0.0,0.0,0.0,1.0,16.0,153.3,3.0,2.0,1.0,1.0,0.0,2.41,0
5352.7,49451.02,98.0,761.0,2.0,43639.9,0.8825,1.0,5.0,2.0,2.0,4.0,615.7,1.0,0.0,1.0,0.0,0.0,1.9,0
9735.51,76020.12,24.0,725.0,5.0,69155.42,0.9097,0.0,0.0,0.0,0.0,23.0,620.8,5.0,0.0,1.0,1.0,1.0,1.86,0
5209.3,40831.93,18.0,679.0,7.0,10215.31,0.2502,0.0,0.0,1.0,3.0,8.0,284.7,2.0,0.0,2.0,0.0,2.0,3.41,0
2951.14,35010.91,60.0,762.0,5.0,13902.8,0.3971,2.0,3.0,2.0,3.0,7.0,286.8,1.0,0.0,1.0,1.0,2.0,1.06,0
5055.48,35415.93,60.0,668.0,3.0,22403.37,0.6326,1.0,5.0,1.0,1.0,10.0,190.8,2.0,0.0,2.0,3.0,0.0,3.27,0
