supplier_reliability_score,lead_time_days,order_quantity,supplier_country_risk,transportation_mode,days_since_last_disruption,num_disruptions_last_year,supplier_financial_health_score,commodity_price_volatility,weather_risk_index,geopolitical_risk_score,port_congestion_index,num_alternative_suppliers,contract_type,order_complexity_score,seasonal_demand_index,supplier_capacity_utilization,distance_km,customs_complexity_score,target
83.2,23.5,216.0,0.0,3.0,54.0,0.0,93.2,0.9497,2.44,2.02,0.32,6.0,1.0,2.65,0.193,73.7,2564.0,7.1,0
88.2,19.1,56.0,1.0,3.0,155.0,2.0,76.8,0.0434,0.9,0.3,4.08,2.0,2.0,6.57,0.0106,56.2,2213.0,0.87,0
78.7,9.0,1884.0,0.0,0.0,32.0,0.0,95.6,0.5932,1.86,4.75,6.83,3.0,2.0,5.0,0.5982,52.3,305.0,0.49,0
89.8,11.1,2939.0,0.0,0.0,108.0,2.0,60.0,0.0126,1.96,4.41,2.25,1.0,1.0,4.19,0.7554,75.6,3939.0,8.96,0
93.2,5.8,529.0,0.0,0.0,543.0,0.0,62.8,0.0984,4.47,3.72,2.85,3.0,1.0,4.24,0.6777,73.0,4221.0,2.41,0
85.9,21.0,686.0,3.0,0.0,237.0,1.0,80.5,0.2583,1.44,0.34,0.63,1.0,1.0,4.19,0.4867,86.2,973.0,3.32,0
81.5,6.8,1501.0,1.0,1.0,191.0,1.0,68.0,0.4227,2.52,3.74,1.03,1.0,1.0,3.27,0.3027,64.5,926.0,4.04,0
89.2,14.8,3781.0,2.0,0.0,97.0,2.0,77.2,0.1439,2.13,2.49,1.93,0.0,1.0,4.99,0.5347,76.9,495.0,3.44,0
74.8,26.4,198.0,2.0,0.0,159.0,0.0,55.4,0.2272,3.0,1.5,1.13,3.0,1.0,2.53,0.884,60.6,1832.0,1.57,0
84.7,10.0,1006.0,4.0,1.0,39.0,0.0,53.1,0.0364,1.71,5.37,3.22,1.0,2.0,4.06,0.201,85.2,610.0,0.69,0
84.5,13.2,1687.0,2.0,1.0,318.0,3.0,52.5,0.0511,3.58,2.89,0.76,2.0,0.0,6.07,0.9273,58.9,262.0,2.82,0
75.3,23.4,685.0,1.0,2.0,20.0,1.0,78.0,0.1544,4.02,3.95,0.59,5.0,0.0,4.97,0.5172,87.2,221.0,2.6,0
83.7,7.0,473.0,0.0,0.0,33.0,0.0,73.3,0.0886,0.62,3.58,4.15,3.0,1.0,1.15,0.7637,92.9,1467.0,2.19,0
82.7,12.6,90.0,0.0,2.0,13.0,0.0,80.5,0.0618,1.07,2.61,1.86,1.0,1.0,4.18,0.1765,43.9,3481.0,3.24,0
84.0,8.5,447.0,1.0,1.0,75.0,0.0,92.1,0.1518,1.26,2.17,3.41,3.0,2.0,4.17,0.4743,52.8,1023.0,3.46,0
86.6,6.3,1161.0,1.0,1.0,192.0,0.0,70.9,0.4021,0.34,2.87,2.81,7.0,0.0,4.75,0.0362,96.3,736.0,2.98,0
60.9,10.4,262.0,1.0,0.0,330.0,2.0,71.3,0.234,2.48,2.94,1.47,1.0,1.0,2.42,0.1372,78.6,2768.0,3.99,0
94.0,3.7,2166.0,0.0,1.0,26.0,0.0,78.2,0.1389,1.29,2.84,2.27,5.0,2.0,5.68,0.3128,67.3,361.0,2.69,0
79.6,8.4,743.0,0.0,0.0,487.0,1.0,76.8,0.0486,1.03,2.0,2.09,5.0,0.0,1.67,0.0543,90.6,3459.0,1.73,0
