days_since_last_inspection,previous_violation_count,previous_critical_violations,restaurant_type,years_in_operation,num_employees,seating_capacity,has_liquor_license,complaint_count_last_6months,avg_health_score_history,owner_change_last_year,renovation_last_year,chain_restaurant,neighborhood_income_level,inspection_month,food_handler_certifications_pct,cuisine_risk_category,delivery_service_partner,outdoor_seating,kitchen_size_sqft,target
36.0,2.0,0.0,2.0,10.3,14.0,35.0,0.0,1.0,78.4,0.0,0.0,0.0,66826.0,11.0,95.3,4.0,0.0,0.0,944.0,0
40.0,1.0,0.0,6.0,14.0,10.0,29.0,0.0,2.0,95.9,0.0,1.0,0.0,39752.0,4.0,63.1,2.0,0.0,0.0,252.0,0
99.0,0.0,1.0,0.0,21.4,14.0,34.0,1.0,1.0,91.6,0.0,0.0,1.0,54013.0,8.0,84.4,1.0,0.0,0.0,250.0,0
71.0,2.0,1.0,6.0,2.2,11.0,40.0,0.0,2.0,84.6,0.0,0.0,0.0,85074.0,12.0,66.8,0.0,0.0,0.0,417.0,1
27.0,0.0,1.0,7.0,3.7,10.0,15.0,0.0,1.0,75.4,0.0,1.0,0.0,69014.0,9.0,73.9,3.0,0.0,0.0,514.0,0
49.0,1.0,2.0,1.0,4.0,17.0,48.0,0.0,0.0,90.0,0.0,0.0,0.0,53048.0,10.0,93.3,3.0,0.0,1.0,366.0,0
71.0,3.0,0.0,4.0,13.0,10.0,70.0,1.0,0.0,90.9,0.0,0.0,1.0,31870.0,7.0,71.9,1.0,0.0,0.0,214.0,0
140.0,0.0,0.0,3.0,6.5,10.0,23.0,1.0,1.0,74.7,0.0,0.0,0.0,39376.0,7.0,57.4,2.0,0.0,0.0,671.0,0
288.0,2.0,0.0,7.0,9.8,11.0,19.0,0.0,3.0,95.4,0.0,0.0,1.0,39590.0,6.0,62.2,3.0,0.0,1.0,422.0,1
296.0,2.0,1.0,5.0,0.5,9.0,18.0,1.0,0.0,83.8,0.0,0.0,1.0,78383.0,9.0,77.4,2.0,0.0,1.0,347.0,1
14.0,4.0,0.0,4.0,9.2,6.0,34.0,1.0,2.0,81.4,0.0,0.0,0.0,51987.0,7.0,78.4,1.0,0.0,1.0,363.0,0
163.0,0.0,1.0,7.0,3.4,13.0,18.0,0.0,1.0,68.4,0.0,0.0,0.0,55496.0,4.0,72.7,1.0,0.0,0.0,405.0,0
196.0,0.0,0.0,7.0,2.7,8.0,10.0,0.0,0.0,87.7,0.0,0.0,1.0,25328.0,5.0,82.4,2.0,1.0,0.0,257.0,0
75.0,0.0,0.0,2.0,3.7,14.0,95.0,0.0,1.0,87.0,0.0,0.0,0.0,54044.0,3.0,46.1,3.0,0.0,1.0,345.0,0
174.0,2.0,1.0,4.0,6.4,7.0,30.0,1.0,2.0,80.4,0.0,0.0,1.0,79678.0,4.0,55.9,1.0,0.0,0.0,215.0,1
21.0,1.0,1.0,1.0,14.6,18.0,90.0,0.0,1.0,90.6,1.0,0.0,1.0,75272.0,6.0,89.0,2.0,0.0,0.0,349.0,0
78.0,2.0,0.0,7.0,16.6,11.0,36.0,0.0,0.0,96.4,0.0,0.0,0.0,43170.0,5.0,74.1,0.0,0.0,0.0,368.0,0
60.0,1.0,0.0,6.0,2.0,13.0,97.0,0.0,1.0,96.3,0.0,0.0,0.0,53511.0,3.0,71.6,0.0,1.0,0.0,215.0,0
38.0,0.0,0.0,0.0,1.4,10.0,46.0,1.0,1.0,72.0,0.0,0.0,0.0,40063.0,10.0,47.5,0.0,0.0,1.0,375.0,0
36.0,1.0,0.0,4.0,5.6,13.0,47.0,0.0,2.0,64.7,0.0,1.0,0.0,69542.0,3.0,74.6,2.0,0.0,0.0,368.0,0
140.0,2.0,0.0,5.0,4.1,12.0,35.0,0.0,1.0,71.9,0.0,0.0,0.0,29968.0,1.0,71.5,2.0,0.0,0.0,648.0,0
10.0,1.0,0.0,5.0,10.3,13.0,49.0,0.0,1.0,77.3,0.0,1.0,0.0,85108.0,3.0,70.0,4.0,1.0,0.0,1332.0,0
155.0,1.0,0.0,0.0,7.0,6.0,61.0,1.0,0.0,75.6,0.0,0.0,0.0,70119.0,4.0,85.5,2.0,0.0,0.0,447.0,0
61.0,1.0,0.0,5.0,0.5,8.0,29.0,0.0,0.0,80.1,0.0,0.0,0.0,66919.0,1.0,85.6,4.0,0.0,1.0,1571.0,0
59.0,1.0,0.0,5.0,21.2,15.0,21.0,1.0,1.0,64.8,0.0,0.0,0.0,49989.0,7.0,52.9,4.0,0.0,0.0,1228.0,0
146.0,2.0,0.0,1.0,2.5,10.0,33.0,0.0,1.0,86.2,0.0,0.0,1.0,70282.0,12.0,61.0,3.0,0.0,0.0,599.0,0
63.0,1.0,0.0,4.0,1.3,8.0,32.0,1.0,0.0,88.2,0.0,0.0,0.0,59299.0,6.0,76.1,0.0,0.0,1.0,529.0,0
109.0,1.0,1.0,0.0,7.1,13.0,61.0,0.0,0.0,86.0,0.0,0.0,1.0,67179.0,9.0,72.8,0.0,0.0,1.0,369.0,0
138.0,2.0,0.0,1.0,7.7,9.0,39.0,0.0,0.0,90.4,1.0,0.0,0.0,89177.0,2.0,34.7,1.0,0.0,0.0,282.0,0
519.0,0.0,0.0,0.0,2.4,12.0,50.0,1.0,4.0,77.9,0.0,0.0,0.0,50906.0,8.0,60.4,2.0,0.0,0.0,775.0,1
109.0,1.0,1.0,5.0,11.4,15.0,29.0,0.0,2.0,83.7,0.0,0.0,0.0,64985.0,12.0,74.3,4.0,1.0,1.0,255.0,0
80.0,2.0,0.0,7.0,13.5,20.0,30.0,0.0,1.0,77.1,0.0,0.0,0.0,57297.0,1.0,61.8,1.0,0.0,1.0,873.0,0
42.0,1.0,1.0,7.0,4.3,7.0,44.0,0.0,1.0,95.8,0.0,0.0,0.0,65565.0,10.0,60.0,0.0,0.0,1.0,603.0,0
368.0,1.0,0.0,7.0,2.9,13.0,26.0,0.0,2.0,99.0,0.0,0.0,0.0,79406.0,6.0,46.5,3.0,0.0,1.0,638.0,1
404.0,0.0,1.0,4.0,6.1,11.0,33.0,0.0,2.0,87.3,1.0,0.0,1.0,59094.0,9.0,63.8,3.0,1.0,1.0,404.0,1
10.0,1.0,0.0,2.0,5.5,14.0,12.0,0.0,1.0,80.4,0.0,0.0,0.0,62414.0,6.0,60.6,0.0,0.0,1.0,320.0,1
29.0,2.0,0.0,1.0,6.5,12.0,35.0,0.0,0.0,57.7,0.0,0.0,1.0,66379.0,12.0,93.3,4.0,1.0,0.0,553.0,0
147.0,1.0,0.0,0.0,0.5,13.0,10.0,1.0,1.0,79.8,0.0,0.0,1.0,60956.0,1.0,87.1,1.0,0.0,0.0,713.0,0
89.0,0.0,0.0,0.0,2.7,16.0,35.0,1.0,2.0,97.0,1.0,0.0,1.0,42858.0,7.0,65.7,1.0,0.0,0.0,336.0,0
19.0,0.0,1.0,6.0,1.2,12.0,24.0,1.0,0.0,80.1,0.0,0.0,1.0,59148.0,3.0,70.1,3.0,0.0,1.0,219.0,0
22.0,0.0,0.0,2.0,1.2,15.0,53.0,0.0,0.0,84.5,0.0,0.0,0.0,56171.0,11.0,66.2,0.0,0.0,0.0,251.0,0
86.0,2.0,0.0,2.0,3.9,8.0,34.0,0.0,1.0,91.0,0.0,0.0,0.0,55124.0,9.0,62.3,0.0,0.0,1.0,699.0,0
101.0,2.0,0.0,1.0,12.4,9.0,40.0,1.0,1.0,86.2,0.0,0.0,0.0,52102.0,5.0,46.2,0.0,0.0,0.0,617.0,0
79.0,1.0,0.0,6.0,12.0,12.0,55.0,1.0,1.0,78.2,0.0,1.0,1.0,62938.0,8.0,44.3,1.0,1.0,0.0,552.0,0
42.0,2.0,0.0,5.0,9.5,8.0,42.0,0.0,1.0,75.3,0.0,0.0,1.0,68745.0,6.0,81.7,1.0,1.0,1.0,516.0,0
117.0,0.0,0.0,1.0,7.4,13.0,26.0,0.0,0.0,69.2,0.0,0.0,1.0,44613.0,1.0,62.1,2.0,0.0,0.0,342.0,0
51.0,2.0,1.0,7.0,5.9,15.0,34.0,0.0,0.0,64.0,0.0,0.0,1.0,56216.0,10.0,38.9,1.0,0.0,0.0,571.0,0
