scheduled_departure_hour,day_of_week,month,origin_airport_congestion,dest_airport_congestion,aircraft_age_years,aircraft_utilization_hours_today,crew_hours_on_duty,weather_severity_origin,weather_severity_dest,num_prior_flights_today,previous_flight_delay_minutes,gate_turnaround_time_planned,passenger_load_factor,is_holiday_period,route_distance_miles,is_hub_origin,is_hub_destination,maintenance_flag,connecting_pax_pct,target
7.0,5.0,2.0,4.68,4.61,4.6,9.7,7.8,0.0,1.0,2.0,3.3,40.8,62.6,0.0,850.0,1.0,0.0,0.0,31.3,0
17.0,6.0,2.0,3.39,0.86,4.0,13.0,0.7,3.0,0.0,2.0,0.4,57.4,87.3,0.0,354.0,1.0,1.0,0.0,11.8,0
10.0,5.0,2.0,8.76,6.35,2.0,6.7,10.9,2.0,1.0,3.0,4.9,43.6,77.4,0.0,1160.0,0.0,1.0,0.0,39.2,0
6.0,0.0,8.0,7.09,5.34,2.0,5.2,0.9,0.0,2.0,4.0,27.1,54.1,95.5,0.0,534.0,1.0,0.0,0.0,33.2,0
12.0,6.0,4.0,5.44,6.17,10.2,12.1,9.1,0.0,4.0,3.0,7.2,21.5,84.7,0.0,396.0,0.0,1.0,0.0,6.1,0
10.0,2.0,10.0,5.43,8.0,17.7,5.9,3.2,0.0,2.0,1.0,14.3,42.9,94.7,0.0,726.0,1.0,1.0,0.0,51.1,0
15.0,5.0,4.0,6.47,6.88,20.0,7.3,9.5,1.0,0.0,1.0,23.1,34.2,63.9,0.0,812.0,0.0,0.0,0.0,13.4,0
16.0,1.0,5.0,6.94,6.8,4.8,11.3,10.0,0.0,2.0,1.0,16.0,36.7,87.0,1.0,784.0,1.0,0.0,0.0,50.9,1
20.0,5.0,5.0,5.56,6.91,0.5,4.7,4.9,1.0,0.0,2.0,9.8,34.8,75.8,1.0,885.0,1.0,1.0,0.0,6.6,0
9.0,4.0,11.0,9.16,2.3,4.1,6.1,7.8,2.0,0.0,2.0,0.3,33.5,94.4,0.0,398.0,0.0,0.0,0.0,49.0,0
22.0,2.0,2.0,6.25,6.48,1.3,7.5,12.2,0.0,0.0,6.0,34.0,51.1,96.0,0.0,1695.0,0.0,0.0,0.0,24.0,0
15.0,3.0,3.0,4.82,8.61,13.0,12.0,3.3,3.0,2.0,0.0,68.8,47.8,56.8,0.0,393.0,0.0,1.0,1.0,54.5,1
18.0,2.0,9.0,5.12,2.67,30.0,3.2,5.4,3.0,4.0,2.0,12.2,21.7,70.8,0.0,1046.0,0.0,0.0,0.0,6.2,0
12.0,5.0,9.0,3.61,3.7,12.6,7.2,1.1,0.0,1.0,1.0,14.0,52.8,78.0,0.0,1820.0,1.0,0.0,0.0,20.2,0
18.0,5.0,2.0,9.01,4.16,2.5,8.3,5.1,2.0,1.0,2.0,8.8,34.2,99.0,0.0,257.0,1.0,0.0,0.0,11.3,0
12.0,0.0,9.0,6.93,5.83,26.0,2.5,12.7,3.0,1.0,1.0,2.2,24.3,87.1,0.0,604.0,0.0,1.0,0.0,48.8,1
17.0,5.0,2.0,6.87,6.43,8.2,13.5,6.9,3.0,0.0,1.0,1.1,45.6,93.8,0.0,310.0,0.0,0.0,0.0,21.5,0
18.0,2.0,12.0,1.48,5.69,0.8,2.1,0.6,3.0,0.0,3.0,33.2,20.7,68.0,1.0,620.0,0.0,0.0,0.0,29.9,0
8.0,2.0,12.0,5.74,5.03,1.9,10.2,9.5,1.0,1.0,0.0,1.4,23.3,92.7,0.0,294.0,0.0,1.0,0.0,9.4,0
