account_age_months,monthly_active_users,daily_active_users_avg,feature_adoption_score,num_support_tickets_last_month,avg_session_duration_minutes,login_frequency_weekly,num_integrations_enabled,contract_type,plan_tier,num_admin_users,data_storage_used_pct,num_reports_created_last_month,last_login_days_ago,nps_score,onboarding_completed,training_sessions_attended,billing_issues_count,competitor_mention_in_tickets,expansion_revenue_pct,target
1.0,15.0,6.2,30.9,1.0,7.5,6.0,2.0,0.0,1.0,1.0,10.6,11.0,1.3,8.9,0.0,2.0,0.0,0.0,6.2,0
21.7,22.0,9.7,28.9,1.0,5.7,3.0,2.0,0.0,2.0,1.0,67.9,14.0,1.1,10.0,0.0,1.0,0.0,0.0,5.1,1
14.4,17.0,1.3,30.7,0.0,15.6,8.0,2.0,1.0,1.0,3.0,66.1,7.0,1.3,9.8,0.0,3.0,0.0,0.0,1.1,0
1.0,21.0,16.3,32.5,0.0,25.1,7.0,2.0,0.0,1.0,4.0,8.4,7.0,20.0,4.5,1.0,4.0,0.0,0.0,17.2,0
2.3,13.0,3.9,30.1,1.0,3.2,5.0,0.0,0.0,1.0,5.0,7.6,5.0,1.0,7.6,1.0,3.0,1.0,0.0,0.0,1
6.3,16.0,4.8,60.5,0.0,9.0,1.0,2.0,1.0,0.0,2.0,55.0,9.0,6.7,5.8,1.0,2.0,1.0,0.0,2.9,0
2.2,13.0,8.1,23.7,2.0,6.2,5.0,2.0,1.0,1.0,1.0,22.3,11.0,9.9,9.0,1.0,0.0,0.0,0.0,34.2,0
1.0,11.0,5.2,84.7,1.0,32.8,4.0,1.0,1.0,1.0,1.0,50.8,7.0,0.1,10.0,1.0,5.0,0.0,0.0,6.2,0
7.7,16.0,10.9,20.0,0.0,29.8,2.0,4.0,1.0,1.0,5.0,14.7,7.0,10.9,5.1,1.0,1.0,0.0,0.0,12.4,0
7.4,17.0,8.2,73.3,1.0,17.2,3.0,3.0,0.0,0.0,2.0,28.8,13.0,3.7,9.2,1.0,2.0,1.0,0.0,6.1,0
2.3,22.0,15.0,63.2,0.0,7.2,2.0,2.0,0.0,1.0,2.0,14.7,4.0,1.5,4.7,1.0,0.0,1.0,0.0,37.9,0
8.9,11.0,4.2,43.0,1.0,28.6,4.0,1.0,0.0,1.0,4.0,72.1,4.0,3.3,8.3,1.0,1.0,0.0,0.0,44.5,0
13.2,11.0,6.2,62.1,0.0,6.0,5.0,2.0,0.0,0.0,4.0,17.2,8.0,1.1,7.1,1.0,0.0,0.0,0.0,18.0,0
59.2,11.0,3.2,32.0,1.0,1.2,4.0,2.0,0.0,0.0,2.0,50.3,10.0,1.4,7.8,1.0,2.0,0.0,0.0,13.1,0
1.9,12.0,0.9,32.8,3.0,11.1,1.0,6.0,0.0,1.0,2.0,41.1,9.0,7.0,6.7,1.0,2.0,0.0,0.0,4.8,1
6.2,11.0,1.9,27.0,2.0,10.5,2.0,1.0,1.0,1.0,1.0,60.6,10.0,6.8,1.9,1.0,4.0,0.0,0.0,3.1,1
1.0,15.0,5.3,66.5,1.0,12.0,4.0,0.0,0.0,1.0,2.0,58.4,6.0,11.4,8.9,1.0,1.0,0.0,0.0,31.2,1
