product_age_months,warranty_remaining_months,claim_amount,product_category,purchase_channel,num_previous_claims,days_since_last_claim,issue_description_length,photo_submitted,receipt_provided,registered_product,customer_account_age_months,claim_filed_hour,claim_filed_day_of_week,product_price_original,repair_type_requested,distance_to_service_center,serial_number_verified,customer_satisfaction_history,target
8.3,16.1,359.4,3.0,3.0,0.0,999.0,142.0,1.0,1.0,1.0,30.0,6.0,4.0,434.47,1.0,43.9,1.0,8.3,0
43.9,0.0,121.97,5.0,0.0,1.0,98.0,22.0,1.0,1.0,0.0,33.6,2.0,0.0,475.26,2.0,20.0,1.0,3.1,0
4.3,16.4,111.7,0.0,2.0,2.0,212.0,399.0,0.0,1.0,1.0,61.5,11.0,4.0,487.77,0.0,3.4,1.0,7.1,0
60.0,0.0,851.33,4.0,0.0,1.0,29.0,101.0,1.0,0.0,1.0,58.9,14.0,5.0,800.89,0.0,27.8,1.0,5.4,0
9.5,13.5,391.89,1.0,0.0,1.0,75.0,17.0,1.0,1.0,1.0,5.7,22.0,2.0,218.86,2.0,32.3,1.0,6.8,0
0.7,21.5,82.88,3.0,1.0,0.0,999.0,146.0,1.0,1.0,1.0,13.8,8.0,5.0,316.23,1.0,3.9,0.0,4.7,0
11.2,12.5,160.24,5.0,0.0,0.0,999.0,281.0,1.0,0.0,0.0,1.5,20.0,4.0,297.15,1.0,4.5,0.0,5.7,0
45.3,0.0,263.02,1.0,1.0,1.0,82.0,94.0,1.0,1.0,0.0,28.7,12.0,3.0,190.32,2.0,40.7,1.0,8.9,1
46.0,0.0,107.53,0.0,1.0,0.0,999.0,129.0,1.0,1.0,0.0,12.9,22.0,5.0,411.43,1.0,5.5,1.0,10.0,0
5.9,17.8,188.27,1.0,0.0,0.0,999.0,192.0,1.0,1.0,0.0,2.0,4.0,5.0,195.62,2.0,11.1,0.0,7.7,0
18.3,0.0,430.89,5.0,2.0,0.0,999.0,102.0,1.0,1.0,0.0,17.2,3.0,4.0,558.66,1.0,35.0,1.0,6.3,0
11.1,14.8,159.49,2.0,3.0,1.0,63.0,57.0,0.0,0.0,1.0,14.5,17.0,5.0,1148.03,2.0,3.8,1.0,7.9,0
0.2,22.3,191.76,0.0,1.0,1.0,34.0,196.0,0.0,1.0,1.0,6.3,20.0,3.0,777.67,2.0,31.6,1.0,10.0,0
7.6,11.2,874.87,1.0,1.0,1.0,19.0,232.0,1.0,1.0,1.0,43.4,23.0,2.0,685.16,0.0,19.5,1.0,10.0,0
1.5,19.0,95.46,2.0,2.0,0.0,999.0,50.0,1.0,1.0,0.0,32.8,6.0,3.0,773.79,3.0,8.0,1.0,4.2,0
13.7,9.7,249.39,0.0,1.0,0.0,999.0,55.0,1.0,1.0,0.0,8.2,17.0,6.0,249.74,0.0,3.3,1.0,10.0,0
32.0,0.0,199.45,1.0,0.0,1.0,194.0,196.0,0.0,1.0,0.0,66.7,20.0,6.0,631.46,2.0,9.3,1.0,8.5,0
1.6,28.6,43.38,4.0,1.0,0.0,999.0,131.0,1.0,1.0,1.0,41.9,4.0,6.0,193.57,2.0,43.5,0.0,5.8,0
21.3,0.0,91.71,5.0,1.0,0.0,999.0,73.0,1.0,1.0,1.0,65.1,15.0,5.0,557.78,3.0,7.2,1.0,2.0,0
13.6,6.5,495.19,5.0,1.0,0.0,999.0,77.0,1.0,1.0,0.0,22.2,1.0,0.0,247.93,1.0,8.7,1.0,6.7,0
18.8,4.2,223.88,1.0,2.0,0.0,999.0,465.0,1.0,1.0,1.0,58.6,8.0,0.0,496.72,1.0,23.4,0.0,7.4,0
13.0,7.0,621.21,3.0,0.0,2.0,248.0,40.0,1.0,1.0,1.0,23.3,3.0,5.0,371.07,0.0,18.2,1.0,10.0,1
0.3,25.1,150.61,0.0,0.0,1.0,17.0,192.0,0.0,1.0,1.0,29.7,22.0,5.0,2375.78,0.0,2.3,1.0,6.7,0
1.2,27.4,30.51,2.0,0.0,0.0,999.0,61.0,0.0,1.0,1.0,13.7,6.0,3.0,533.91,3.0,6.1,1.0,8.1,0
1.6,27.0,150.68,3.0,0.0,0.0,999.0,37.0,1.0,1.0,0.0,8.4,11.0,5.0,368.45,0.0,8.1,1.0,6.5,0
