property_age_years,property_value,square_footage,num_stories,roof_age_years,roof_material,heating_type,has_security_system,has_fire_alarm,distance_to_fire_station_miles,distance_to_coast_miles,flood_zone_risk,wildfire_risk_score,crime_rate_index,num_prior_claims,years_as_customer,credit_score,num_occupants,has_pool,has_trampoline,dog_breed_risk,tree_coverage_pct,target
0.9,111305.0,1342.0,2.0,0.6,1.0,1.0,0.0,1.0,3.6,31.6,1.0,2.2,3.54,0.0,0.3,613.0,2.0,0.0,0.0,3.0,55.7,0
64.2,134423.0,1784.0,2.0,3.0,0.0,2.0,0.0,1.0,0.9,143.8,3.0,0.77,4.54,0.0,6.3,736.0,3.0,0.0,0.0,1.0,51.8,0
60.9,281192.0,1399.0,2.0,9.9,0.0,1.0,0.0,1.0,7.9,8.8,4.0,1.63,4.93,0.0,5.5,745.0,4.0,0.0,0.0,0.0,47.7,1
30.0,113858.0,1131.0,2.0,24.3,0.0,0.0,0.0,1.0,0.2,35.7,1.0,1.56,2.79,0.0,1.8,747.0,3.0,0.0,0.0,0.0,36.5,0
5.5,181087.0,1377.0,1.0,5.5,0.0,2.0,0.0,1.0,1.8,65.4,3.0,2.78,4.4,0.0,6.3,717.0,1.0,0.0,0.0,0.0,51.0,0
35.3,414034.0,1585.0,2.0,1.3,3.0,2.0,0.0,1.0,1.9,160.9,0.0,3.28,4.58,0.0,1.9,632.0,2.0,1.0,1.0,2.0,70.8,0
28.0,103913.0,1321.0,1.0,26.3,0.0,2.0,0.0,1.0,1.4,29.2,2.0,1.88,1.53,0.0,1.6,773.0,3.0,0.0,0.0,0.0,66.3,0
4.1,152194.0,890.0,2.0,4.1,0.0,0.0,0.0,1.0,3.2,48.6,2.0,2.47,1.94,0.0,7.9,761.0,2.0,1.0,0.0,1.0,21.7,0
2.4,438032.0,1536.0,2.0,1.7,1.0,0.0,0.0,1.0,11.1,55.1,1.0,3.93,2.74,1.0,6.2,745.0,5.0,0.0,0.0,3.0,43.2,0
22.6,389464.0,1073.0,2.0,4.6,4.0,2.0,0.0,1.0,12.6,180.6,1.0,2.88,3.71,0.0,9.6,748.0,5.0,0.0,0.0,2.0,52.6,0
