customer_tier,account_age_months,num_open_tickets,priority_level,submission_hour,is_weekend,num_users_on_account,monthly_spend,product_module,days_since_last_ticket,escalation_history_count,ticket_description,department
0,38,0,1,16,0,5,223.72,4,51,2,overcharge need information loading details,Billing
1,11,1,2,13,0,14,73.69,1,58,1,urgent support password time please,Account
2,26,1,1,8,0,3,386.89,0,28,2,getting started service account today system,Onboarding
2,10,1,2,20,0,36,653.59,5,96,0,login team access user need contact service not working check,Account
1,11,2,3,0,1,8,1736.11,2,88,1,invoice team help problem support service overcharge check,Billing
1,36,3,2,5,0,2,631.78,0,0,1,details broken check service login details not working urgent support,Account
1,22,3,1,22,0,1,863.44,0,7,0,details resolved information details unauthorized change unable broken,Security
1,30,0,2,10,0,14,402.85,4,33,2,account problem not working API unable support check team today,Technical
2,64,2,3,11,1,22,295.13,2,28,1,page yesterday import data service contact information update support fix,Onboarding
0,50,1,3,5,0,3,294.96,1,54,0,not working help fix broken error,Billing
1,4,2,2,7,0,22,194.93,4,38,1,request problem resolved update fix unable details problem account,Billing
3,132,2,2,0,0,74,157.07,0,24,0,team password error request problem problem user need service urgent,Account
3,35,0,2,6,0,6,205.93,0,35,0,phishing problem loading user fix time,Security
1,3,2,1,8,0,6,691.6,4,14,1,page permission change urgent page help details fix user,Account
0,31,2,1,13,0,5,84.24,4,60,0,time update team system loading crash urgent request,Technical
0,8,2,1,2,0,3,813.82,3,34,3,please details problem access error access overcharge user time,Billing
1,13,1,3,21,0,2,767.32,5,12,0,error help help yesterday resolved support setup information,Onboarding
0,5,2,1,15,0,5,504.14,0,18,0,permission system page team unable error,Account
0,137,3,2,15,0,17,580.73,5,15,2,team error resolved details overcharge details help,Billing
1,28,1,1,17,0,16,121.53,1,31,0,page issue please fix team fix SSO,Account
0,14,0,3,6,0,1,414.59,1,28,0,service page problem resolved need access refund update broken yesterday,Billing
3,3,1,1,19,0,4,496.02,1,29,0,need please error system today please permission access issue,Account
2,6,2,2,20,0,122,1431.53,0,93,0,update unable details login team support,Account
3,108,0,1,9,0,4,655.86,4,2,0,API problem today help change,Technical
3,36,2,3,8,0,42,1629.59,4,22,1,loading not working migration service check help,Onboarding
2,10,1,2,5,0,6,109.82,5,9,0,yesterday urgent check API details details issue unable,Technical
2,84,1,2,4,0,36,407.16,5,22,0,yesterday phishing user broken loading system resolved unable issue unable,Security
2,47,1,1,0,0,6,576.5,4,8,1,support service check subscription please team account,Billing
3,80,4,1,4,0,13,707.35,4,8,3,team crash help change service,Technical
1,4,3,2,0,0,59,206.69,3,15,0,crash change access details user information help,Technical
0,22,2,1,5,0,84,106.96,3,0,1,overcharge urgent support update change change urgent,Billing
2,21,1,1,6,1,9,54.98,3,73,2,account fix timeout page request system broken,Technical
3,1,1,1,11,0,31,2545.24,3,66,0,user time migration urgent unable access details issue,Onboarding
1,7,1,2,6,0,10,806.8,3,6,1,access details please page details,Onboarding
1,20,0,3,4,0,20,1756.11,0,4,2,need check help information issue setup please,Onboarding
0,31,0,1,19,0,58,17.85,3,194,2,bug service details timeout account urgent issue system service team,Technical
3,21,3,2,8,0,3,270.74,1,9,0,issue fix urgent page contact breach today resolved unauthorized broken user,Security
3,17,1,2,10,1,6,630.07,2,58,0,contact user please contact need password account today yesterday,Account
0,25,3,3,3,0,5,2561.42,0,46,0,account update problem access problem error not working request refund,Billing
3,18,0,2,1,0,6,227.05,0,19,1,loading user need urgent check account please import data,Onboarding
1,40,2,1,1,0,15,148.59,1,37,0,page problem time need problem help update access password,Account
0,48,3,1,22,0,23,780.32,4,7,0,please resolved unauthorized page check team change today,Security
2,20,1,1,2,0,6,181.58,3,21,0,yesterday need need vulnerability contact need problem information,Security
1,1,1,2,23,0,16,506.75,3,36,0,access resolved need check not working issue please getting started,Onboarding
1,26,3,2,21,0,8,258.73,2,8,1,time check support change fix yesterday setup fix,Onboarding
3,1,0,3,15,1,34,290.4,4,11,0,unable yesterday issue team update help invoice user refund contact today,Billing
3,94,0,3,11,0,10,1294.83,1,20,0,access contact page permission information update yesterday details,Account
1,15,2,2,18,0,52,234.32,0,15,0,issue fix enhance help problem,Feature_Request
3,8,1,3,11,0,25,309.82,3,0,2,overcharge error service update broken resolved system service,Billing
2,2,3,1,2,0,26,2506.52,2,17,0,timeout support error problem fix information bug today,Technical
1,94,5,3,16,1,43,723.88,4,34,1,information overcharge unable check system help access access fix,Billing
3,5,1,1,4,0,7,5404.78,2,11,0,bug resolved error details change,Technical
1,18,2,1,11,0,8,294.53,2,7,0,team help help support service subscription need,Billing
1,34,2,1,15,0,4,2074.71,4,7,1,update not working page loading access support,Billing
0,2,0,1,17,0,1,802.89,4,59,0,error update today loading broken SSO error account,Account
2,3,2,2,8,0,3,151.59,5,27,2,unable phishing page error user service,Security
1,65,3,2,8,0,21,822.2,3,16,3,page phishing access service team broken page request check,Security
3,4,0,1,10,0,1,180.62,4,48,1,check page page user urgent login unable,Account
3,1,1,2,11,0,1,1089.48,2,112,0,please crash information team update,Technical
0,9,3,1,19,0,2,727.51,1,13,1,broken fix change page fix error,Onboarding
3,2,3,3,20,0,19,49.07,1,23,2,unable unable user user time contact need today API,Technical
1,2,2,2,8,0,6,472.35,1,8,0,issue refund resolved check contact,Billing
3,5,3,2,14,0,14,106.6,3,116,1,user account yesterday error roadmap check contact help,Feature_Request
2,28,1,1,18,0,12,168.31,1,21,0,help information overcharge please page service please,Billing
1,2,1,2,1,0,19,391.88,2,11,2,help information unable help,Feature_Request
1,1,2,1,1,0,2,208.65,2,26,0,system invoice help user contact error,Billing
1,74,3,3,15,0,4,252.71,2,10,0,please time time problem migration information user error urgent,Onboarding
3,1,0,1,1,0,2,123.35,2,16,2,information contact service access service system update,Billing
3,14,0,1,5,0,10,630.51,4,64,1,information service account time,Account
2,7,2,3,6,0,29,185.55,3,43,1,fix change contact error getting started account urgent need error,Onboarding
1,3,0,1,22,0,4,2665.16,2,20,0,unable page loading update yesterday getting started not working,Onboarding
1,5,0,1,13,0,7,89.59,0,51,1,update please issue help enhance system error check fix,Feature_Request
0,6,1,1,5,0,4,858.69,0,3,1,contact system need today contact problem issue yesterday service,Technical
3,1,1,3,9,0,2,490.58,4,8,0,information subscription service system broken update update contact page,Billing
3,11,0,1,11,0,1,427.31,3,66,0,unable SSO information account error request access,Account
3,6,1,3,18,0,23,598.12,4,7,0,today need overcharge issue yesterday team information loading access yesterday,Billing
3,1,0,1,14,0,41,495.41,1,11,1,access check login time broken team service fix login help,Account
0,23,3,1,6,0,3,129.81,5,12,0,help problem user help bug problem unable team broken,Technical
2,6,0,2,12,0,12,40.94,1,3,1,support refund check change today,Billing
1,6,2,1,17,0,2,480.07,3,34,0,change phishing error time change user system,Security
3,20,1,2,4,0,3,414.73,0,2,2,support loading login support account access support loading,Account
3,46,0,1,9,0,1,539.71,4,29,0,access today time setup time please support change,Onboarding
2,1,1,1,22,0,9,82.01,0,41,1,please overcharge refund yesterday help problem broken,Billing
0,11,4,1,12,0,1,1259.7,5,47,0,request API broken today unable resolved issue access,Technical
3,37,0,1,6,0,19,456.18,5,67,1,SSO check urgent support please resolved today urgent,Account
2,1,3,2,19,1,3,279.54,4,28,0,roadmap help service unable time need request change fix access,Feature_Request
0,3,3,1,11,0,8,186.42,2,4,0,time overcharge service access page user,Billing
0,8,1,1,1,0,9,34.7,4,24,0,information setup please change not working,Onboarding
2,22,0,2,14,0,1,383.69,4,18,0,unable request SSO please broken user details broken,Account
2,4,1,2,12,0,1,32.18,3,3,0,error enhance contact information change,Feature_Request
0,16,1,2,1,0,40,457.82,4,20,0,problem access urgent support error error resolved broken crash broken,Technical
0,1,2,1,0,0,7,83.93,0,20,0,urgent details problem update update refund need update,Billing
0,15,4,1,12,0,16,1591.8,2,4,1,error need fix check API request time time access urgent,Technical
1,7,1,2,0,0,2,354.01,1,2,1,invoice check update update support please unable loading access,Billing
3,1,0,2,21,1,9,679.35,4,1,1,page unable not working error loading need team resolved user vulnerability,Security
2,20,1,2,2,0,1,2171.1,1,14,1,loading service time information unable login help yesterday login access,Account
1,1,0,3,15,0,14,1478.11,5,26,0,team resolved team loading need change details refund,Billing
2,11,2,3,12,0,24,240.66,1,42,0,update help problem check loading enhance need request account not working,Feature_Request
3,33,2,3,10,0,47,148.58,0,102,0,resolved change change system page,Technical
3,45,2,1,19,1,4,567.98,2,10,0,support fix update not working contact account refund,Billing
3,1,1,2,16,0,14,110.94,5,14,1,team invoice please fix request change update urgent page change,Billing
3,36,1,2,7,0,3,1108.27,2,29,1,urgent SSO access issue details loading,Account
3,12,2,3,12,0,6,2196.52,2,61,0,API please timeout not working team fix page system yesterday today help,Technical
3,38,4,2,17,1,1,894.82,1,122,0,yesterday change timeout resolved issue,Technical
3,22,3,1,1,0,7,75.66,4,43,0,need service getting started account resolved check resolved urgent check,Onboarding
0,13,1,3,7,1,9,502.44,3,6,0,resolved information loading timeout need,Technical
3,11,2,2,8,0,9,88.03,3,0,3,urgent change check support request service SSO,Account
3,13,0,3,10,0,1,370.41,2,6,1,unable crash need help not working time support update service,Technical
3,15,5,1,20,0,11,1116.07,5,54,0,issue support information please request urgent API support,Technical
2,6,0,2,19,0,9,1720.43,0,47,0,issue change today need timeout timeout loading help need,Technical
1,13,0,2,2,0,12,37.15,0,95,1,please check team contact service,Billing
0,2,0,1,22,0,4,140.91,4,18,0,bug team access update time,Technical
2,17,1,2,7,0,5,334.82,2,11,0,help not working request error yesterday access invoice,Billing
2,17,3,1,14,0,13,1433.19,0,8,0,support help issue issue need subscription overcharge system,Billing
2,2,2,2,20,0,52,361.6,4,3,0,broken would like team please loading resolved check fix,Feature_Request
3,15,2,3,13,0,10,543.87,0,29,1,system support bug information fix,Technical
2,22,1,1,20,0,26,509.65,1,42,0,details access system broken yesterday need need,Technical
0,18,0,1,9,0,2,148.74,0,17,0,details yesterday not working getting started team contact yesterday need change not working,Onboarding
0,15,1,2,16,0,5,3599.62,0,5,1,check user request unable page page help not working not working API,Technical
0,115,1,2,23,0,7,129.98,0,118,0,page support unable invoice yesterday,Billing
0,48,1,1,12,0,8,210.91,2,15,0,yesterday contact problem problem error details support,Onboarding
1,1,1,2,14,0,2,596.56,5,3,0,problem update today help unable not working please,Billing
3,107,0,1,8,1,2,2991.06,4,120,0,please problem please subscription urgent page team urgent update loading,Billing
3,4,3,3,16,0,40,226.53,5,21,1,urgent broken need please service login user help support time,Account
2,4,3,1,7,0,3,548.45,4,70,0,system invoice resolved broken change unable information team problem,Billing
2,2,1,1,19,0,4,177.0,2,10,0,problem team invoice time update team issue access,Billing
0,48,2,1,13,0,14,1431.11,2,0,0,details loading refund please fix information please page,Billing
0,60,3,1,14,0,6,494.0,2,7,0,error not working bug time please,Technical
0,23,0,1,7,0,4,310.9,1,11,0,team service help support urgent not working setup need getting started,Onboarding
3,10,3,1,19,0,4,97.66,0,35,1,urgent invoice access please please issue not working team time,Billing
3,4,1,2,0,0,8,578.02,4,98,1,time team account update service page help,Technical
3,24,1,1,10,0,3,10.33,2,68,1,need user request page team not working contact subscription not working,Billing
1,6,1,2,14,0,5,65.26,4,3,0,problem details information issue details change bug need change today,Technical
3,1,1,1,11,0,15,2786.49,4,5,0,issue loading information request team service broken please login,Account
3,2,1,2,23,0,2,227.65,1,20,0,today help resolved urgent account overcharge,Billing
1,10,0,1,6,0,14,1098.42,0,43,0,enhance system problem today account,Feature_Request
3,21,3,1,18,0,34,2248.51,2,18,2,team please bug please unable access,Technical
2,12,3,1,2,0,24,3960.23,5,56,1,resolved please service subscription support loading,Billing
3,23,3,1,2,0,26,1293.14,5,63,0,problem system timeout check system change,Technical
3,16,1,2,7,0,57,245.53,1,23,0,system contact SSO account today,Account
2,3,1,1,6,0,14,599.17,1,7,0,information loading request time crash page,Technical
3,23,0,2,4,0,3,73.31,4,24,0,today change team request unable check add feature,Feature_Request
2,56,1,1,5,0,25,1666.4,3,5,1,access access resolved details not working urgent please user team invoice,Billing
1,1,1,1,4,0,5,70.6,4,11,0,system fix urgent help need update refund,Billing
0,3,1,3,21,1,4,145.4,4,23,1,team update support information user update problem service permission,Account
3,40,1,1,8,1,6,231.3,5,12,0,unable overcharge page problem team page team system,Billing
0,26,6,2,12,1,22,1535.71,3,40,0,need resolved please details information setup,Onboarding
0,31,3,3,7,0,1,84.52,1,9,0,update resolved invoice refund unable resolved need,Billing
1,39,4,2,4,0,6,896.06,0,49,0,update information service login update broken loading please,Account
2,21,1,3,20,0,1,199.17,1,90,0,time problem help unauthorized today information team account access,Security
1,5,1,1,13,0,7,56.09,2,32,1,check change resolved team error help help information urgent subscription,Billing
0,109,2,1,1,0,2,321.24,2,31,0,team today details SSO time today information SSO request check urgent,Account
0,64,1,1,9,1,21,118.71,4,28,1,time service SSO loading urgent request today unable loading,Account
2,44,4,2,22,0,5,242.41,5,0,1,urgent issue problem yesterday not working today error check,Technical
1,2,0,1,17,0,33,270.05,3,46,1,update invoice need error contact,Billing
2,2,1,1,14,1,37,349.43,5,44,1,system subscription fix broken issue,Billing
1,25,0,3,18,0,14,718.72,1,39,1,account migration team request information,Onboarding
2,31,1,1,9,1,3,789.58,5,19,0,page access crash broken urgent not working yesterday team contact,Technical
3,19,1,1,12,1,9,657.27,1,1,0,contact need request broken need urgent timeout yesterday,Technical
1,8,4,1,23,0,6,350.56,3,27,0,please issue access change urgent need contact crash,Technical
0,67,1,1,20,0,2,4600.23,1,20,0,broken user page team today loading fix support subscription,Billing
2,14,3,3,15,0,2,694.68,3,20,0,request contact team crash time urgent,Technical
0,13,5,1,20,0,1,910.79,4,56,0,details enhance loading contact today time today update need,Feature_Request
2,1,0,2,0,0,5,105.88,1,42,1,unable help broken user unable password,Account
0,65,1,1,5,0,28,381.03,3,18,0,permission today support user need,Account
0,20,0,1,20,1,4,2918.91,5,14,1,user broken details issue,Account
2,11,3,1,17,0,76,2534.67,1,14,0,phishing need team urgent information today,Security
0,7,1,1,11,0,15,505.82,1,115,0,change resolved add feature resolved help loading,Feature_Request
1,45,0,2,10,0,7,534.88,0,8,0,urgent page would like yesterday please user team,Feature_Request
2,22,4,2,9,0,1,240.29,3,34,0,enhance fix support request access urgent unable,Feature_Request
1,4,1,2,4,1,13,235.79,4,25,0,timeout help team yesterday resolved,Technical
1,25,2,2,6,0,30,585.2,4,34,1,support not working need system not working contact information access,Account
3,9,2,1,9,0,18,860.52,4,19,0,contact urgent loading issue,Security
2,16,1,1,14,0,12,289.78,3,16,1,help update problem loading resolved timeout team broken problem information,Technical
3,76,3,2,7,0,1,269.61,5,0,0,account service loading broken time yesterday need unauthorized,Security
0,95,1,3,23,0,3,2029.2,3,49,0,contact change access breach support error,Security
3,5,2,1,18,0,5,812.47,4,50,0,update urgent enhance issue yesterday not working,Feature_Request
3,3,1,1,4,0,24,156.23,3,1,0,information issue problem unable overcharge subscription page page request not working,Billing
3,22,1,1,13,1,14,510.73,1,13,1,fix API error help change team request contact update,Technical
1,5,0,1,15,0,9,372.24,1,61,0,service information request today timeout help,Technical
2,67,1,1,11,0,9,205.08,4,1,1,service not working support service request API help,Technical
3,32,0,1,17,0,15,123.25,4,29,0,change resolved error API need need user service service,Technical
1,40,2,3,18,0,10,332.61,0,4,0,help would like not working request issue enhance,Feature_Request
1,10,1,1,15,0,1,4125.95,2,64,1,please broken time fix refund,Billing
0,12,1,1,17,0,21,643.16,2,6,0,request loading timeout problem account time help contact support loading,Technical
0,20,3,1,0,0,5,116.82,5,18,0,please service support system support loading request fix,Billing
1,20,2,2,2,1,1,84.47,2,61,1,service loading time team details unable update access,Feature_Request
2,32,2,1,7,0,4,576.8,5,81,0,details page update request system invoice not working please update information,Billing
3,20,0,2,12,0,7,529.38,1,15,0,access permission loading error please,Account
0,42,1,3,5,0,8,74.45,0,5,1,support time account information user loading need broken loading,Billing
2,5,3,2,8,0,1,779.39,4,16,3,fix time update yesterday timeout access,Technical
3,5,1,1,0,0,5,284.05,1,22,0,information urgent request today breach error,Security
2,27,1,2,7,0,21,2209.08,2,58,1,problem issue SSO unable change request access loading today,Account
1,27,1,1,23,0,107,1142.51,5,36,0,details account update support login details,Account
