word_count,num_named_entities,avg_sentence_length,num_quotes,has_numbers,publish_hour,source_type,author_article_count,article_shares,reading_time_minutes,sentiment_score,num_images,article_text,category
12,4,27.6,2,1,14,0,31,141,4.7,0.135,2,market market global growing security athlete state country called president announced president,Sports
14,5,3.1,0,1,16,0,14,76,7.5,0.574,4,sanctions economic called sanctions national first impact including local also first president could reported,World
10,1,21.0,0,1,22,3,8,600,6.7,0.334,4,security would called local market last program officials new algorithm,Technology
18,4,11.0,0,0,15,4,11,15,7.8,-0.027,0,country called market reported new sector first quarterly percent technology country market last world first could announced industry,Business
13,0,17.1,1,1,5,2,60,20,6.7,-0.467,2,health major security many plan concerns quantum new including global announced public could,Science
10,0,15.9,1,0,7,1,1,10,5.7,-0.338,1,people million concerns international million plan expected athlete country national,Sports
13,2,21.3,2,0,21,1,13,154,5.0,-0.088,1,president research plan public plan percent NASA also local officials first world plan,Science
13,6,17.1,0,1,5,2,8,0,4.9,0.292,1,policy system report concerns expected said said said would summit reported would including,World
10,2,20.3,0,1,3,1,4,26,7.8,-0.371,2,state said local said market international legislation called would new,Politics
9,1,5.1,1,1,22,1,20,8,6.9,-0.363,1,industry country officials percent also market president including premiere,Entertainment
13,2,17.9,2,0,13,2,61,106,7.7,-0.242,1,security million officials expected last startup announced health next security people international officials,Technology
13,4,11.7,1,1,20,1,160,184,6.9,0.141,0,national future last diplomat security concerns expected research percent announced according economic percent,World
9,3,8.8,3,1,19,3,65,95,6.4,-0.1,1,leader system development research global officials country last shareholders,Business
16,1,10.1,1,1,23,1,3,33,7.7,0.25,3,market president security bipartisan reported also national including sector many would local policy many country health,Politics
13,5,21.9,0,0,7,1,7,7,5.4,0.49,1,international people app leader global president company global development policy president year major,Technology
12,5,23.3,1,1,5,1,55,126,4.3,-0.075,0,said health also future expected app growing system public group year app,Technology
16,3,20.5,1,1,19,1,26,182,4.2,-0.03,4,concerns year people impact security announced would company growing expected research could could announced state called,Politics
15,5,10.2,2,1,0,4,1,12,1.8,0.229,3,market recent next country leader national leader major diagnosis international group future percent public reported,Health
10,1,13.2,0,0,2,2,48,73,1.0,0.218,1,last including industry new recent international reported next last quantum,Science
11,4,15.8,1,0,19,4,85,6,6.4,0.086,3,state according decision NASA policy people company could group company industry,Science
14,5,14.8,0,0,20,2,31,224,7.3,-0.076,3,world market world bipartisan million according leader public country world also new new bipartisan,Politics
9,3,10.0,0,1,15,2,23,30,7.5,-0.145,2,expected expected reported said group coach future market health,Sports
12,3,19.2,3,1,14,2,172,108,6.7,-0.068,2,local local year global new policy president people percent last system country,Science
18,3,16.8,1,0,10,2,135,55,7.5,0.046,2,global country industry impact country state report decision government economic decision senator state organization system program first impact,Politics
