claim_id,policy_age_months,policy_type,premium_amount,claimant_tenure_years,prior_claims_3yr,prior_fraud_flags,claim_amount,days_to_report,police_report_filed,witnesses_present,claim_description_length,incident_hour,weekend_incident,holiday_adjacent,out_of_state,recent_policy_change,coverage_increase_90d,payment_issues,adjuster_experience_years,documentation_complete,repair_shop_preferred,is_fraud
1,16,auto,733.7,2.0,2,0,2129.41,0,0,1,61,7,1,0,0,0,0,1,1.1,1,0,0
2,108,auto,1469.97,0.8,1,0,1870.59,4,0,0,250,21,0,0,1,0,0,0,4.5,0,1,0
3,47,auto,2107.25,5.5,1,0,2556.37,3,0,0,152,4,0,0,0,0,0,0,6.5,1,0,0
4,32,home,593.8,1.4,1,0,2319.14,0,1,0,257,9,0,0,0,0,0,0,6.7,1,1,0
5,6,auto,2581.57,3.0,1,0,10190.42,0,0,0,78,15,0,0,0,0,0,0,15.0,0,1,0
6,6,home,1028.36,3.4,0,0,1784.63,4,1,0,149,2,0,0,0,1,1,0,2.4,1,1,0
7,2,auto,673.5,3.2,0,0,4851.2,0,0,0,108,13,0,0,0,0,0,0,9.9,1,1,0
8,72,home,1601.79,4.6,0,0,9022.57,7,0,0,95,17,1,0,1,0,0,0,0.5,1,1,0
9,33,home,877.23,0.1,0,0,16538.02,14,0,0,96,18,1,0,0,0,0,0,1.8,1,0,0
10,44,home,1052.72,22.9,2,0,7207.88,0,0,0,601,1,0,0,1,0,0,0,3.7,1,1,0
11,1,home,895.93,6.3,0,0,732.37,8,0,1,226,20,1,0,0,0,1,0,9.9,1,0,0
12,126,home,728.97,2.8,1,0,3905.88,4,0,0,108,14,1,0,1,0,0,1,3.3,1,0,0
13,64,commercial,1574.98,1.1,1,0,10038.73,2,1,1,84,12,0,0,0,1,0,0,4.5,0,1,0
14,8,auto,950.37,0.4,1,0,1838.17,5,0,1,112,10,0,0,0,0,0,0,1.3,1,1,0
15,7,auto,534.68,5.6,0,0,18559.45,8,0,0,339,6,0,1,0,0,0,0,1.7,1,1,0
16,7,auto,1444.52,1.9,0,0,18153.05,17,0,0,104,11,1,0,0,0,0,0,5.9,1,0,1
17,13,auto,600.17,1.3,1,0,8127.29,5,1,1,82,14,0,1,0,0,0,0,25.0,1,1,0
18,26,auto,616.08,2.4,1,0,12773.09,6,0,1,83,0,1,0,0,0,0,0,11.4,1,1,0
19,20,auto,1990.82,4.5,0,0,16471.05,4,0,0,248,2,1,0,0,1,0,0,7.4,0,0,1
20,12,auto,602.95,5.6,1,0,5233.92,4,0,0,91,5,0,0,1,0,0,0,0.9,1,0,0
21,34,auto,500.0,5.2,0,0,11833.82,0,0,0,283,10,0,0,0,0,0,0,8.2,1,1,0
22,5,auto,1497.32,9.9,1,0,1551.61,0,0,0,160,0,0,0,0,0,0,0,7.2,1,1,0
23,12,commercial,942.06,1.2,2,0,10152.62,2,1,0,229,23,0,0,0,1,0,0,0.5,1,1,0
24,16,auto,983.55,5.1,0,0,7293.91,5,0,0,295,20,1,0,0,0,0,1,1.3,1,1,0
25,21,home,937.06,0.5,0,0,59446.78,0,0,1,108,21,1,0,0,1,0,1,2.1,1,1,0
26,55,auto,1231.31,4.0,0,0,3341.25,3,1,0,217,17,0,0,1,0,0,0,5.2,1,1,0
27,8,commercial,752.68,4.4,0,0,17600.02,0,0,0,146,0,0,1,0,0,0,0,1.8,1,1,0
28,25,home,2294.01,1.2,0,0,12713.12,7,0,0,173,0,0,0,0,0,0,0,0.6,1,1,0
29,32,home,524.21,2.5,0,0,4413.96,5,0,0,489,19,0,0,0,0,0,0,0.5,1,1,0
30,1,home,1369.82,8.8,0,0,801.77,3,1,0,144,12,0,0,1,1,0,0,5.6,1,0,0
31,33,auto,1511.81,0.8,0,0,3296.27,4,1,0,241,10,0,0,0,1,0,0,1.0,1,1,0
32,6,commercial,750.08,2.9,0,0,4394.94,13,1,0,364,21,0,0,0,1,0,0,9.7,0,0,0
33,2,home,657.29,13.5,0,0,12765.33,11,0,0,110,16,0,0,0,0,0,0,20.2,1,1,0
34,107,home,1823.64,3.5,1,0,6495.78,7,0,0,95,6,0,1,0,0,0,0,2.1,1,1,0
35,121,home,668.19,6.5,0,0,5085.05,2,1,0,137,6,0,0,0,0,0,0,12.4,1,1,0
36,59,auto,809.7,8.8,0,0,11202.76,0,0,1,92,1,0,0,0,0,0,0,4.9,1,1,0
37,13,home,1708.98,1.1,1,0,10660.57,1,1,0,118,22,1,0,0,0,0,0,2.9,1,1,0
38,3,auto,1115.85,1.2,0,0,12954.88,6,1,0,119,15,0,0,0,0,1,0,0.5,1,0,0
39,41,auto,500.0,7.1,1,0,2098.42,4,0,1,134,12,1,0,0,0,0,1,2.5,1,0,0
40,20,auto,2626.82,7.0,3,0,12974.07,6,1,0,91,1,0,0,0,0,0,0,9.2,1,0,0
41,4,commercial,841.34,0.3,0,0,18069.89,0,0,1,168,3,1,0,0,0,0,0,8.2,1,1,0
42,24,auto,896.61,1.9,3,0,71099.54,0,1,0,118,17,1,0,1,0,0,0,17.4,1,1,0
43,1,auto,1246.25,2.5,0,0,8072.54,5,0,1,127,6,1,0,0,0,0,0,6.4,1,0,0
44,86,auto,1498.98,8.8,1,0,14625.22,2,1,0,204,9,0,1,0,1,1,1,5.2,1,0,0
45,10,home,2923.54,2.7,1,0,7782.99,2,0,0,172,15,0,0,0,0,0,0,4.6,1,1,0
46,39,home,500.0,13.0,0,0,9252.69,2,0,0,263,10,0,0,0,0,0,0,0.8,1,1,0
47,13,auto,1657.35,28.4,2,0,14642.93,7,0,0,277,16,0,0,1,0,0,0,0.5,1,1,0
48,26,auto,1590.02,7.6,1,0,974.19,6,0,0,122,20,0,0,0,0,0,0,3.0,1,1,0
49,28,home,1023.94,5.5,0,0,6596.18,0,1,0,160,4,0,0,0,0,0,0,10.9,0,0,0
50,7,commercial,1625.61,2.5,0,0,6809.84,2,0,0,176,14,1,1,0,0,0,0,15.4,1,0,0
51,125,home,1749.59,0.3,0,0,2681.4,5,1,1,110,21,0,0,0,0,1,0,12.6,1,1,0
52,53,auto,549.51,4.3,1,0,1058.69,18,1,0,92,4,0,0,0,0,0,0,1.2,1,0,0
53,100,commercial,2630.38,2.2,0,0,3091.13,12,0,0,217,3,1,0,0,0,0,0,5.2,1,0,0
54,81,auto,503.01,2.2,1,0,6742.29,1,0,1,264,3,0,1,0,0,0,0,10.1,0,0,0
55,32,auto,621.63,5.8,0,1,3976.23,0,1,0,99,7,0,0,0,0,0,0,0.5,1,1,0
56,91,auto,962.09,3.1,1,0,6529.24,4,0,1,167,23,0,1,0,0,0,0,0.6,0,0,0
57,3,auto,2871.16,7.0,1,0,1936.95,2,0,0,107,13,0,0,0,0,0,0,12.6,1,1,0
58,7,home,939.99,2.5,1,0,5726.11,1,1,1,111,16,0,0,0,0,0,0,17.4,1,1,0
59,1,auto,1079.26,0.8,1,0,6922.68,5,1,0,122,10,0,0,0,0,0,0,0.5,1,0,0
60,14,auto,2244.05,3.1,0,0,1392.29,0,1,1,216,5,0,0,0,0,0,0,1.9,1,1,0
61,17,auto,943.73,15.1,0,0,1250.64,2,1,0,185,11,1,0,0,0,0,0,8.4,1,1,0
