customer_id,tenure_months,age,income_estimate,checking_balance,savings_balance,cd_balance,investment_balance,monthly_transactions,avg_transaction_amount,debit_card_usage,atm_withdrawals,mobile_logins_monthly,online_logins_monthly,branch_visits_monthly,has_mortgage,has_auto_loan,has_credit_card,has_personal_loan,total_deposits,total_relationship,num_products,digital_engagement
1,28,41,60156.0,447.89,2228.98,950.59,0.0,19,36.17,19,5,16,9,4.0,0,0,1,0,3627.46,3627.46,3,25
2,180,49,83007.0,100.0,5971.75,0.0,0.0,29,33.88,26,2,15,5,2.0,0,0,1,0,6071.75,6071.75,2,20
3,79,47,42660.0,590.91,0.0,0.0,0.0,26,46.46,17,4,10,13,1.0,0,0,1,1,590.91,590.91,2,23
4,54,25,73987.0,4316.55,0.0,0.0,0.0,22,48.67,14,1,24,9,0.6,0,0,0,0,4316.55,4316.55,0,33
5,10,50,20000.0,2456.38,0.0,0.0,0.0,23,40.41,13,1,12,16,0.0,0,0,0,0,2456.38,2456.38,0,28
6,10,62,62873.0,2084.49,6471.22,11130.33,0.0,20,32.02,12,2,3,5,2.0,0,0,1,0,19686.04,19686.04,3,8
7,3,26,58258.0,720.55,5799.47,54350.35,0.0,30,22.05,16,6,22,8,0.6,1,0,1,0,60870.369999999995,60870.369999999995,4,30
8,120,33,20000.0,161.01,9133.07,0.0,0.0,18,73.99,11,3,15,6,3.0,0,0,0,0,9294.08,9294.08,1,21
9,55,32,38493.0,2375.45,4794.79,0.0,0.0,16,23.53,11,1,18,8,0.2,0,0,1,0,7170.24,7170.24,2,26
10,73,66,60933.0,313.74,0.0,2039.35,0.0,29,116.5,12,4,15,11,0.0,0,0,1,0,2353.09,2353.09,2,26
11,3,48,56643.0,29031.74,456.26,0.0,0.0,27,37.47,15,5,10,8,2.0,0,0,1,0,29488.0,29488.0,2,18
12,210,52,33291.0,2580.56,999.43,0.0,0.0,19,34.54,15,3,14,6,0.0,1,0,0,0,3579.99,3579.99,2,20
13,107,42,196846.0,458.99,1695.14,10836.98,0.0,25,60.82,19,7,14,7,0.0,1,0,0,0,12991.11,12991.11,3,21
14,14,45,54638.0,438.31,24380.74,0.0,0.0,13,19.64,24,2,18,10,0.0,0,0,0,0,24819.050000000003,24819.050000000003,1,28
15,12,18,137530.0,953.92,291.23,283.53,0.0,26,52.41,15,3,18,8,1.0,0,0,1,1,1528.68,1528.68,4,26
16,12,47,67307.0,765.67,1458.51,0.0,0.0,21,36.31,14,1,17,7,1.0,0,0,0,0,2224.18,2224.18,1,24
17,21,41,44098.0,5856.17,20050.69,18692.47,0.0,27,46.0,21,4,14,12,0.0,1,0,0,0,44599.33,44599.33,3,26
18,44,54,113372.0,1450.44,1636.39,0.0,0.0,24,19.17,15,2,12,7,2.0,1,0,0,0,3086.83,3086.83,2,19
19,33,25,132463.0,365.97,7486.31,0.0,0.0,22,19.02,23,1,8,5,1.0,0,0,1,0,7852.280000000001,7852.280000000001,2,13
20,20,42,95757.0,18688.45,0.0,0.0,0.0,28,10.0,17,4,12,7,0.0,0,0,0,0,18688.45,18688.45,0,19
21,56,18,82887.0,1180.82,0.0,0.0,0.0,34,22.97,12,7,18,9,0.0,0,0,0,0,1180.82,1180.82,0,27
22,9,41,35672.0,3474.69,0.0,0.0,0.0,34,22.03,11,4,9,10,1.0,0,0,1,0,3474.69,3474.69,1,19
23,20,41,70109.0,440.39,11317.79,14772.69,0.0,24,19.42,12,2,20,2,2.0,0,0,0,1,26530.870000000003,26530.870000000003,3,22
24,27,36,33713.0,1890.65,135.62,0.0,0.0,27,30.19,13,2,9,12,3.0,0,0,0,0,2026.27,2026.27,1,21
25,36,66,82720.0,1748.76,0.0,10608.78,0.0,19,34.86,14,4,10,4,0.0,0,0,0,0,12357.54,12357.54,1,14
26,92,49,119211.0,100.0,5394.55,0.0,0.0,26,49.39,13,2,13,7,0.0,0,0,0,0,5494.55,5494.55,1,20
27,13,48,73548.0,22536.98,8667.98,0.0,254.44,28,52.07,15,4,11,12,2.0,0,0,0,0,31204.96,31459.399999999998,2,23
28,43,26,33222.0,7600.48,59036.15,0.0,4818.51,27,55.72,24,2,28,8,0.4,0,0,0,0,66636.63,71455.14,2,36
29,53,41,38902.0,604.38,1363.69,13417.38,0.0,21,57.62,19,3,14,8,1.0,0,0,0,0,15385.449999999999,15385.449999999999,2,22
30,3,33,50221.0,209.89,57466.85,0.0,0.0,20,41.27,19,4,8,4,1.0,0,0,1,0,57676.74,57676.74,2,12
31,56,41,76773.0,1847.05,0.0,0.0,20284.59,28,34.61,9,5,14,3,2.0,1,0,0,0,1847.05,22131.64,2,17
32,11,77,34698.0,1248.94,42501.42,0.0,0.0,29,69.64,21,0,14,9,2.0,0,0,0,1,43750.36,43750.36,2,23
33,4,40,25876.0,1869.64,15289.69,0.0,0.0,25,57.66,17,2,9,14,0.0,0,0,0,0,17159.33,17159.33,1,23
34,178,24,46846.0,1461.72,479.66,22308.52,0.0,29,10.12,14,1,11,12,1.0,0,0,0,0,24249.9,24249.9,2,23
35,202,47,65934.0,2343.41,5508.67,0.0,0.0,24,28.84,17,2,15,8,0.0,0,0,1,0,7852.08,7852.08,2,23
36,99,39,34931.0,9613.84,2690.62,5092.82,0.0,28,10.0,16,3,7,8,0.0,1,0,0,0,17397.28,17397.28,3,15
37,21,32,28377.0,2571.27,10416.74,0.0,0.0,22,10.0,18,1,17,7,3.0,1,0,0,0,12988.01,12988.01,2,24
38,6,63,141614.0,227.13,2860.99,85537.89,0.0,18,22.04,22,1,3,9,2.0,0,1,0,0,88626.01,88626.01,3,12
39,69,40,54535.0,8466.26,0.0,0.0,0.0,24,29.89,16,4,16,9,1.0,0,0,1,0,8466.26,8466.26,1,25
40,34,29,89178.0,12847.72,46082.53,0.0,229951.59,26,23.59,20,1,12,9,0.0,0,0,1,0,58930.25,288881.83999999997,3,21
41,7,22,44474.0,124005.98,2446.85,0.0,48.94,34,10.0,17,1,16,12,0.2,0,0,1,0,126452.83,126501.77,3,28
42,41,18,42638.0,203.32,15566.0,0.0,0.0,24,61.56,12,4,18,7,0.0,0,0,0,0,15769.32,15769.32,1,25
43,3,76,24406.0,1578.65,2849.11,8884.2,0.0,26,18.81,21,6,2,6,0.0,1,0,1,0,13311.960000000001,13311.960000000001,4,8
44,144,25,125498.0,100.0,83560.53,0.0,0.0,26,48.98,16,4,12,9,2.0,0,0,0,0,83660.53,83660.53,1,21
45,17,43,57025.0,2514.23,767.65,0.0,0.0,15,19.23,9,5,14,8,1.0,0,0,1,0,3281.88,3281.88,2,22
46,65,41,84720.0,481.88,0.0,0.0,0.0,22,22.24,16,1,12,15,1.0,0,0,0,0,481.88,481.88,0,27
47,22,33,60516.0,19636.96,62883.2,0.0,0.0,24,46.85,13,4,34,9,0.4,0,0,1,0,82520.16,82520.16,2,43
48,44,60,95348.0,343.12,1224.28,0.0,969.86,23,25.05,19,3,8,9,1.0,0,1,0,1,1567.4,2537.26,4,17
49,47,41,20000.0,100.0,73287.74,0.0,4658.76,22,37.96,18,3,15,11,0.0,1,0,0,0,73387.74,78046.5,3,26
50,12,45,79154.0,540.83,0.0,53830.35,0.0,20,41.34,15,3,13,12,1.0,0,0,0,0,54371.18,54371.18,1,25
51,209,56,84403.0,100.0,2187.91,0.0,443652.43,23,10.57,7,4,7,10,0.0,0,0,0,0,2287.91,445940.33999999997,2,17
52,89,35,27988.0,3383.44,79.31,0.0,0.0,23,48.53,12,3,12,9,1.0,0,0,0,1,3462.75,3462.75,2,21
53,168,43,42691.0,100.0,0.0,0.0,0.0,20,15.64,15,2,11,6,1.0,0,0,1,0,100.0,100.0,1,17
54,135,63,37215.0,1144.46,3652.84,0.0,31596.66,30,13.61,22,3,14,8,0.0,0,0,0,0,4797.3,36393.96,2,22
55,54,42,81749.0,100.0,30774.31,0.0,0.0,17,18.52,15,5,12,6,1.0,0,0,1,0,30874.31,30874.31,2,18
56,152,48,29164.0,678.28,71460.09,0.0,31491.19,17,63.53,16,0,6,10,2.0,0,0,0,0,72138.37,103629.56,2,16
57,5,53,140269.0,12901.09,0.0,0.0,0.0,21,10.0,17,0,12,7,3.0,1,0,1,0,12901.09,12901.09,2,19
58,13,84,45741.0,1883.66,0.0,0.0,0.0,31,55.75,19,2,16,5,0.0,0,0,0,0,1883.66,1883.66,0,21
59,3,27,92287.0,300.29,0.0,5117.29,0.0,22,43.45,15,4,18,14,0.0,0,0,1,0,5417.58,5417.58,2,32
60,23,30,23026.0,1046.49,0.0,0.0,0.0,22,35.14,19,6,21,9,0.0,0,1,0,0,1046.49,1046.49,1,30
61,29,50,109490.0,1126.67,8081.88,6298.54,0.0,24,40.34,17,4,11,9,0.0,0,0,1,0,15507.09,15507.09,3,20
62,18,29,49906.0,2228.19,61.25,5932.98,6081.63,24,26.26,14,0,32,9,0.2,0,1,0,0,8222.42,14304.05,4,41
63,105,46,87115.0,141.13,2184.53,0.0,0.0,20,57.16,13,2,11,9,0.0,1,0,0,0,2325.6600000000003,2325.6600000000003,2,20
64,26,42,28236.0,2667.38,0.0,0.0,0.0,18,23.54,10,1,11,6,2.0,0,0,0,0,2667.38,2667.38,0,17
65,19,38,42748.0,100.0,1987.81,0.0,0.0,30,10.0,11,5,9,7,1.0,0,0,1,0,2087.81,2087.81,2,16
66,46,64,28575.0,426.31,0.0,0.0,13589.34,28,31.13,9,4,7,10,2.0,0,0,0,0,426.31,14015.65,1,17
67,9,47,43981.0,527.2,5487.9,0.0,0.0,19,62.87,24,3,16,9,1.0,0,0,1,0,6015.099999999999,6015.099999999999,2,25
68,97,62,49661.0,2835.55,0.0,43677.98,0.0,26,49.09,11,2,2,6,0.0,0,0,1,1,46513.530000000006,46513.530000000006,3,8
69,4,35,47529.0,1134.5,5904.72,0.0,121049.14,27,141.39,12,3,15,11,2.0,1,0,1,0,7039.22,128088.36,4,26
70,260,46,37709.0,133.17,0.0,0.0,430893.97,31,27.04,7,1,7,7,1.0,0,0,1,1,133.17,431027.13999999996,3,14
71,88,25,39079.0,250.26,19.27,2714.19,0.0,34,29.12,16,4,22,6,0.2,1,1,1,0,2983.7200000000003,2983.7200000000003,5,28
72,13,57,56777.0,1477.37,4014.3,2336.68,0.0,31,27.48,10,1,9,6,0.0,0,0,1,0,7828.35,7828.35,3,15
73,3,26,57950.0,973.99,1943.31,0.0,0.0,25,17.8,16,4,12,5,0.4,1,0,1,0,2917.3,2917.3,3,17
74,101,41,24796.0,460.04,422.47,0.0,0.0,23,22.68,15,3,12,11,1.0,0,0,1,0,882.51,882.51,2,23
75,73,38,85200.0,533.12,99.36,0.0,130.86,29,14.42,11,7,11,8,0.0,0,0,1,1,632.48,763.34,4,19
76,78,31,46972.0,3115.83,0.0,13705.66,695.6,31,10.0,19,2,28,6,0.2,0,1,0,0,16821.489999999998,17517.089999999997,3,34
77,88,72,80674.0,504.45,3030.5,14136.2,0.0,24,20.82,12,3,4,5,0.0,1,0,0,0,17671.15,17671.15,3,9
78,4,59,49295.0,960.89,11290.94,0.0,10018.82,27,33.74,21,5,15,10,0.0,0,1,1,0,12251.83,22270.65,4,25
79,26,32,94132.0,28421.61,4347.09,0.0,0.0,25,54.85,16,3,16,4,0.2,0,0,1,0,32768.7,32768.7,2,20
80,7,47,77241.0,129.6,74319.93,0.0,0.0,26,20.89,10,2,13,11,2.0,0,0,0,0,74449.53,74449.53,1,24
81,119,52,134125.0,100.0,0.0,0.0,0.0,35,21.09,21,1,9,9,2.0,0,0,1,0,100.0,100.0,1,18
82,58,46,28593.0,3552.42,0.0,0.0,13149.49,18,75.53,20,1,18,7,1.0,0,0,0,0,3552.42,16701.91,1,25
83,24,43,48528.0,396.25,0.0,0.0,0.0,20,11.42,13,2,11,9,1.0,0,0,1,0,396.25,396.25,1,20
84,3,59,57990.0,680.37,11960.18,5427.57,0.0,36,29.06,18,3,8,8,0.0,1,0,1,0,18068.120000000003,18068.120000000003,4,16
85,22,42,100165.0,339.77,1245.1,0.0,30.01,24,71.22,16,0,13,10,1.0,0,0,1,0,1584.87,1614.8799999999999,3,23
86,23,66,219656.0,1114.06,25421.76,350.41,9786.57,30,18.79,18,6,15,5,0.0,0,0,0,0,26886.23,36672.8,3,20
87,78,53,20887.0,12061.9,5380.03,0.0,0.0,33,10.0,14,0,10,6,0.0,1,0,0,0,17441.93,17441.93,2,16
88,60,35,104372.0,3652.59,0.0,0.0,0.0,31,129.73,12,1,13,9,0.0,0,0,0,1,3652.59,3652.59,1,22
